#"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
#"Popolazione per sesso ed età al 1° gennaio 2020 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 420541 424525 432259 440858 449007 456750 460831
1 422190 425551 431710 438839 445284 451681 454909
2 456761 456970 457333 457724 458114 458474 458672
3 474200 474401 474755 475136 475520 475873 476061
4 487659 487847 488195 488566 488941 489286 489473
5 503787 503972 504313 504676 505041 505380 505562
6 512826 513006 513339 513694 514051 514384 514558
7 535417 535587 535912 536260 536607 536932 537108
8 545972 546140 546457 546797 547133 547453 547627
9 561142 561306 561617 561948 562276 562588 562763
10 570254 570412 570718 571040 571365 571670 571839
11 576827 576982 577287 577598 577919 578216 578381
12 575002 575159 575455 575764 576078 576373 576534
13 575946 576102 576394 576704 577016 577310 577468
14 572116 572277 572561 572879 573194 573486 573644
15 578173 578335 578621 578948 579272 579568 579727
16 574116 574289 574589 574929 575267 575578 575738
17 570930 571122 571441 571814 572184 572517 572692
18 577953 578168 578527 578947 579369 579746 579941
19 590432 590674 591092 591586 592074 592524 592761
20 588420 588708 589203 589792 590374 590915 591193
21 598916 599255 599837 600535 601223 601864 602191
22 599894 600284 600967 601768 602561 603305 603679
23 603436 603895 604660 605564 606457 607290 607718
24 603100 603614 604463 605456 606459 607353 607808
25 610940 611496 612416 613495 614572 615527 616036
26 623663 624229 625230 626353 627474 628497 629035
27 649697 650275 651304 652471 653633 654690 655264
28 647785 648381 649436 650618 651791 652876 653465
29 661045 661628 662718 663874 665034 666131 666720
30 659563 660133 661211 662344 663491 664559 665148
31 674942 675494 676544 677632 678753 679780 680355
32 661583 662100 663116 664160 665236 666220 666778
33 665315 665814 666774 667775 668794 669748 670272
34 685815 686281 687194 688144 689109 690012 690513
35 697105 697552 698407 699310 700213 701063 701541
36 708726 709148 709951 710800 711645 712440 712878
37 732083 732482 733239 734031 734826 735572 735980
38 737251 737627 738332 739077 739823 740520 740900
39 755331 755690 756353 757049 757750 758398 758751
40 778126 778461 779081 779736 780389 781002 781328
41 818698 819008 819584 820200 820814 821387 821695
42 844647 844934 845474 846051 846626 847167 847450
43 880948 881220 881729 882269 882811 883317 883583
44 921291 921544 922026 922533 923042 923520 923760
45 957963 958207 958655 959132 959607 960057 960284
46 951581 951814 952235 952683 953129 953551 953765
47 960596 960818 961219 961638 962059 962454 962656
48 969020 969234 969608 970005 970403 970778 970965
49 960251 960449 960797 961174 961553 961904 962082
50 986171 986352 986683 987040 987396 987730 987898
51 978777 978947 979259 979595 979934 980253 980412
52 981541 981707 982001 982320 982643 982945 983092
53 989072 989232 989512 989816 990120 990410 990556
54 985982 986132 986402 986693 986982 987257 987401
55 997500 997637 997892 998171 998450 998709 998848
56 935161 935298 935533 935799 936064 936309 936441
57 902559 902698 902914 903171 903426 903657 903785
58 882736 882874 883075 883324 883566 883792 883908
59 853967 854097 854291 854526 854759 854971 855083
60 831760 831893 832078 832303 832528 832733 832839
61 792950 793077 793256 793474 793689 793884 793993
62 783155 783279 783457 783669 783876 784072 784181
63 764823 764945 765119 765330 765534 765724 765838
64 748021 748142 748321 748528 748732 748922 749037
65 734001 734129 734313 734518 734724 734915 735034
66 697416 697537 697717 697926 698131 698321 698431
67 683493 683609 683796 684009 684217 684408 684519
68 677814 677924 678127 678346 678560 678762 678864
69 698546 698659 698873 699114 699345 699567 699668
70 697563 697681 697910 698170 698418 698656 698771
71 721944 722074 722334 722623 722902 723162 723287
72 699682 699821 700097 700404 700699 700977 701110
73 692231 692376 692679 693013 693339 693633 693778
74 528321 528445 528705 528993 529272 529529 529648
75 536186 536319 536615 536937 537249 537530 537674
76 532435 532577 532897 533257 533608 533919 534077
77 519931 520085 520435 520831 521216 521553 521735
78 512374 512544 512938 513380 513811 514185 514389
79 549967 550182 550659 551200 551728 552180 552437
80 525981 526213 526731 527332 527910 528406 528690
81 493021 493270 493831 494475 495102 495636 495939
82 438231 438491 439065 439727 440367 440919 441233
83 391965 392243 392844 393523 394186 394764 395084
84 378157 378454 379135 379890 380632 381271 381627
85 343077 343400 344114 344908 345692 346363 346739
86 308115 308469 309200 310032 310851 311554 311951
87 272322 272699 273450 274306 275157 275876 276282
88 244771 245174 245954 246859 247749 248511 248956
89 223865 224310 225134 226103 227053 227879 228343
90 177847 178266 179034 179922 180802 181556 181972
91 148360 148788 149526 150388 151240 151980 152389
92 121590 122010 122722 123530 124340 125046 125425
93 95690 96097 96740 97468 98201 98850 99177
94 74207 74577 75149 75801 76454 77040 77339
95 56120 56453 56952 57513 58083 58592 58856
96 41957 42243 42675 43154 43641 44079 44314
97 29531 29761 30113 30500 30897 31250 31440
98 20675 20850 21130 21436 21752 22032 22190
99 13647 13777 13982 14210 14444 14649 14764
100 5939 6000 6100 6211 6323 6423 6483
101 2871 2903 2956 3014 3074 3127 3159
102 1874 1897 1935 1978 2021 2060 2083
103 1277 1293 1322 1353 1386 1415 1432
104 895 908 931 955 980 1003 1016
105 510 519 533 548 564 579 587
106 213 217 223 230 237 244 248
107 110 113 116 120 124 128 130
108 46 47 48 50 52 54 55
109 22 23 24 25 26 27 27
110 13 14 14 15 15 16 16
