# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2045 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 364484 383192 413268 451299 487208 521596 541325
1 370628 388388 418212 455829 491047 525145 544507
2 375528 393074 422743 459928 494474 528200 546827
3 379975 397823 427007 463871 497802 530962 549371
4 383524 401985 430620 466700 500513 532760 550989
5 387325 405428 434029 469349 502271 534065 552051
6 390928 409276 437250 471703 504295 535428 552754
7 393552 412351 439553 473307 505259 535774 552666
8 396923 415058 441773 474726 505966 536120 552467
9 399905 417157 443502 475826 506237 535177 551220
10 403010 419866 445167 476712 506541 534720 549973
11 405778 421929 446559 477124 506073 533379 548548
12 408964 424212 448370 477836 505804 532415 547213
13 411848 426325 449897 478312 505524 530910 545466
14 415109 428966 451821 479343 505475 529861 543927
15 418177 431182 453433 479830 504798 528321 541598
16 421896 434274 455697 481067 504964 527526 540107
17 426215 437323 458005 482178 505180 526582 538450
18 430927 441991 461606 484806 506410 526901 538575
19 435003 445113 463918 486043 506668 526230 537414
20 439642 449523 467451 488504 508657 526573 537195
21 445277 454709 471825 491933 511415 529173 539098
22 450555 460151 476744 496218 515283 532255 542045
23 455957 465393 481773 500987 519585 536450 546143
24 461343 470411 486997 505895 524651 541285 551581
25 466269 475385 491770 511238 529940 546530 556319
26 468421 478801 494844 515006 534448 551845 561394
27 491653 501767 519280 539332 559028 577258 587918
28 511008 521839 540470 561851 582802 602352 613714
29 526165 537537 557369 580017 602208 622902 634937
30 543700 555771 576565 600436 623828 645626 658376
31 554066 566512 588247 613379 637946 660741 673920
32 577385 590501 613322 639370 664737 688539 702368
33 588572 602271 626108 652975 679351 703810 718013
34 604802 618536 643305 670758 697801 722950 737592
35 614540 628865 654015 682126 709915 735438 750589
36 621692 636421 661988 690603 718977 744958 760274
37 620402 635444 661463 690372 719141 745421 761073
38 622124 636895 663537 692544 721651 748120 763700
39 618845 633715 660321 689623 718897 745671 761071
40 625323 640086 666757 696124 725321 752359 767748
41 621345 636326 662844 692149 721213 748205 763702
42 618228 633172 659300 688479 717321 744231 759645
43 624559 639097 665311 694171 722767 749346 764473
44 636173 650201 675849 704313 732445 758545 773619
45 632398 645942 671083 699061 726661 752330 767088
46 640039 653349 677725 705129 731953 757159 771625
47 637579 650447 674341 700912 726950 751564 765715
48 637405 649644 672786 698515 723646 747687 761331
49 632982 644627 667008 691829 715942 739482 752222
50 636633 647591 669270 692988 716098 738843 750877
51 645050 655533 676247 698865 721004 742884 754127
52 666610 676567 696298 717845 738976 759639 770364
53 660871 670238 688994 709475 729492 749084 759461
54 670195 678997 696761 716145 735155 753596 763458
55 665248 673392 690157 708552 726547 743887 753185
56 676646 684549 700208 717631 734638 750991 759582
57 660160 667805 682407 698854 714858 730182 738404
58 660392 667716 681441 696989 712142 726311 734268
59 676929 683779 696972 711563 725652 739166 746756
60 684694 690953 703441 717254 730513 743216 750274
61 692655 698622 710318 723293 735809 747550 754253
62 711663 717102 728337 740584 752379 763245 769510
63 712962 718239 728792 740303 751472 761610 767667
64 726054 731582 741345 752191 762655 772159 778046
65 743760 748890 758174 768355 778224 787271 792798
66 777288 782545 791179 800901 810234 818696 823999
67 796449 801623 809702 819078 827928 835865 841105
68 824517 829481 837063 846206 854472 862444 867180
69 855730 860221 867279 876309 884382 892063 896505
70 881359 886226 893229 901916 909784 917163 921679
71 867118 871752 878541 887100 894401 902139 906317
72 865569 870325 877007 885493 892676 900152 904415
73 862265 867190 873936 882479 889664 896947 901412
74 842675 847622 854404 863019 870135 877649 882024
75 851816 856761 863994 872939 880353 888090 892330
76 830712 835507 843067 852347 859994 868135 872077
77 816416 820898 829184 838928 847032 855400 859559
78 803511 808022 817056 827429 835998 844899 848964
79 779341 784207 793974 804972 814321 823537 828103
80 763849 768946 779444 791558 801807 811538 816770
81 690606 696059 706575 718885 729338 739329 744608
82 638290 644106 655012 668063 679136 689511 695217
83 593723 599734 611302 625399 637333 648178 654516
84 541527 547779 560164 574892 587571 598780 605926
85 492943 499352 512186 527763 541302 553228 560635
86 434192 441089 454051 469960 484211 496516 503716
87 390725 398222 411699 428358 443543 456475 464230
88 342733 350265 364280 381518 397428 410798 419070
89 295512 303598 317896 335054 351703 365386 374629
90 251187 259694 273812 290960 308128 322491 331489
91 202492 210941 224463 240770 257418 271887 280531
92 165209 173287 186544 202275 218820 233130 241716
93 133122 140706 153563 168654 184981 199127 207585
94 108760 115913 128547 143299 159512 173865 182369
95 83538 90145 101698 115189 130547 144253 152282
96 64847 70639 81150 93764 108604 122097 130061
97 45445 50313 58971 69660 82591 94708 101650
98 31655 35588 42724 51736 62972 73523 80416
99 16218 18590 23000 28530 35822 42790 47517
100 10784 12582 16071 20497 26602 32540 36749
101 6696 7943 10494 13807 18580 23377 26969
102 3908 4717 6446 8777 12271 15907 18827
103 2175 2684 3813 5389 7882 10538 12736
104 1247 1576 2325 3427 5247 7302 8967
105 600 780 1202 1851 2982 4337 5443
106 266 357 576 933 1585 2414 3094
107 106 146 246 422 763 1208 1593
108 40 56 101 182 349 582 793
109 15 22 41 79 163 286 403
110 7 11 22 47 107 205 302
