# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2046 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 359338 377741 408374 446852 483504 519295 539253
1 365644 383434 413906 452344 488404 523632 543322
2 370951 388451 418752 456896 492262 526682 546004
3 375753 393740 423179 461020 495801 529859 548622
4 380411 398433 427708 464991 499237 532619 550979
5 384412 402727 431792 467853 501711 534881 552643
6 387875 406608 434946 470536 503826 536178 553942
7 391682 410350 438059 472929 505666 537286 554663
8 395056 413007 440506 474575 506616 537624 554623
9 398295 415829 442782 476040 507712 537723 554327
10 401139 418150 444322 477192 507996 537056 553356
11 404290 420657 446238 478137 508137 536385 552409
12 406912 423008 447794 478620 507771 535409 551043
13 410145 425351 449389 479420 507631 534535 549959
14 413054 427409 451164 480009 507324 533062 548134
15 416216 430147 453373 481198 507467 532274 546926
16 419473 432654 455180 481915 507305 530967 544649
17 423916 435843 457928 483507 507653 530310 542963
18 428095 439824 460586 485157 508345 530150 542505
19 433562 444848 464718 488510 510670 531464 543484
20 438267 448644 467836 490574 511983 531728 543091
21 443335 453496 472089 493840 514879 533991 544038
22 448658 458929 476859 497945 518550 537082 547344
23 454143 464409 481970 502709 522903 540807 551271
24 459564 469405 487228 507720 527723 545868 556424
25 464836 474581 492006 512642 532882 550528 561698
26 468999 479108 496647 517832 538442 557025 566897
27 470136 481396 499226 521334 542722 562242 572095
28 492907 504204 523318 545315 567075 587077 598905
29 512015 523939 544090 567444 590448 611708 624167
30 526892 539406 560546 585198 609407 631816 644847
31 544059 557205 579450 605196 630420 653936 667474
32 553777 567635 590855 617725 643968 668360 682578
33 577300 591453 615445 643308 670294 695703 710357
34 588656 602974 628219 656529 684240 710508 725417
35 604394 619199 644930 673954 702393 728942 744555
36 613985 629038 655512 684996 714109 740979 757123
37 621232 636276 663149 693181 722764 749931 766215
38 619873 635346 662667 692693 722648 750154 766258
39 621298 636807 664363 694636 724781 752407 768678
40 618067 633519 661226 691513 721758 749393 765822
41 624787 639980 667529 697829 728050 755640 772010
42 621062 636157 663652 693689 723664 751607 767709
43 617732 632863 659917 689880 719608 747373 763105
44 623952 638878 665856 695423 724770 752069 767695
45 635602 649881 676199 705422 734181 761070 776548
46 631819 645578 671465 700045 728275 754674 769856
47 639381 652822 677977 705989 733510 759216 774315
48 636910 650131 674492 701659 728211 753445 767939
49 636763 649153 672870 699147 724876 749459 763386
50 632219 644146 666995 692342 716987 741033 754273
51 635798 646933 669152 693363 716990 740247 752654
52 644165 654863 675854 699081 721675 743955 755626
53 665507 675811 695763 717871 739497 760484 771632
54 659699 669352 688390 709337 729912 749728 760406
55 668890 678006 695897 715812 735285 754092 764084
56 663778 672268 689235 708044 726376 744230 753684
57 674958 683147 699059 716911 734288 750991 759846
58 658345 666227 681199 697976 714342 729912 738389
59 658504 665901 680113 695905 711318 725924 734035
60 674775 681715 695293 710209 724555 738342 746131
61 682334 688847 701543 715631 729247 741971 749219
62 690095 696180 708188 721381 734134 745994 752801
63 708743 714374 725848 738332 750429 761466 768045
64 709612 715258 726057 737762 749150 759435 765625
65 722767 728296 738207 749274 759953 769747 775697
66 739735 745212 754547 764993 775081 784245 790045
67 772726 778191 786840 796949 806460 815137 820506
68 791374 796758 804837 814547 823540 831915 837237
69 819038 823805 831468 840949 849381 857741 862602
70 848657 853504 860923 870205 878614 886373 891006
71 873516 878527 885731 894868 902683 910868 915368
72 858380 863281 870293 879340 887000 894930 899422
73 855588 860670 867822 876805 884386 892052 896673
74 851295 856494 863777 872759 880328 888266 892788
75 830506 835835 843162 852285 859964 867803 872239
76 838076 843053 850774 860601 868599 877081 881275
77 815038 820145 828494 838548 846825 855663 859941
78 798820 803540 812697 823240 832003 841127 845287
79 783116 788023 798054 809444 819010 828533 833107
80 756343 761617 772138 784579 794949 804556 810146
81 737360 743121 754651 768108 779468 790223 796062
82 662512 668712 680241 694019 705547 716515 722649
83 608045 614364 626485 641096 653471 664746 671323
84 560984 567571 580549 596005 609264 621254 628451
85 506883 513701 527256 543460 557549 570265 577773
86 456218 463391 477306 494250 509391 522482 530370
87 396456 404182 418010 435342 450927 464501 472586
88 351327 359386 373805 391821 408401 422312 431160
89 302738 311162 326202 344080 361439 375741 385234
90 256353 265013 279708 297532 315282 330272 339746
91 213174 222064 236747 254209 272113 287595 296898
92 168283 176744 190483 206856 224095 238912 247808
93 134157 142015 155288 170723 187366 202011 210839
94 105263 112433 124964 139470 155535 169806 178254
95 83469 90214 102044 115764 131335 145528 153912
96 62233 67984 78432 90766 105227 118891 126454
97 46564 51586 60897 72082 85696 98517 106005
98 31484 35549 42974 52146 63607 74714 81776
99 21091 24260 30124 37589 47354 56628 63313
100 10403 12204 15613 20041 26127 32059 36412
101 6584 7899 10464 13850 18736 23678 27350
102 3893 4737 6517 8940 12622 16394 19527
103 2149 2671 3823 5435 8009 10768 13070
104 1127 1439 2147 3181 4909 6875 8502
105 608 793 1237 1921 3124 4575 5763
106 274 369 601 982 1687 2588 3332
107 114 157 270 467 854 1371 1808
108 42 60 108 199 387 651 886
109 14 22 41 80 167 298 418
110 7 11 23 50 116 227 336
