# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2050 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 335167 355806 387654 429612 470496 509871 532483
1 341386 361609 393856 435011 475199 513768 536323
2 347989 367670 399469 440401 479769 517647 539379
3 354075 373689 405350 445630 484257 521516 543117
4 360443 379560 411335 451106 489144 525670 546328
5 366033 385616 416820 456705 494281 530055 549954
6 371513 391218 421994 461378 498462 533709 553474
7 376576 396110 426763 465637 502161 536742 556198
8 381206 401254 431350 469756 505841 539687 558808
9 385928 405630 434933 472780 508632 541879 560123
10 389911 409711 438323 475642 510800 543807 561161
11 393904 413298 441908 478234 512522 544949 562045
12 397519 416244 444658 480107 513860 545188 562523
13 401158 419419 447157 481840 515074 545624 562835
14 404368 421975 449160 483322 515427 545200 562206
15 408574 424795 451840 484694 515919 544876 561632
16 412159 427562 454028 485762 516224 544568 560692
17 416052 430759 456535 487412 516767 544356 559962
18 419946 434240 459455 489273 517769 544525 559787
19 425024 438371 462800 492298 520287 546098 560115
20 429623 443137 466626 495445 522832 547951 561536
21 435770 448436 471771 499914 526552 551342 564184
22 441868 454012 477320 504576 530938 554930 567935
23 448607 461034 483873 510695 536331 559659 573122
24 453017 465813 488265 514943 540717 563930 576982
25 457841 470682 492960 519604 545272 569046 581766
26 462460 474275 497596 524277 550407 573419 587571
27 466646 478467 501532 528870 554822 578028 592455
28 469916 482283 505281 533132 559462 583293 596538
29 472392 485334 508694 536912 564524 589150 602423
30 473903 488108 511729 540710 569058 594349 608308
31 474037 488911 513171 542677 571535 597120 611872
32 494604 509968 535846 565027 594097 620736 636945
33 512874 528480 555219 585514 615564 643229 659830
34 527117 543075 570596 601660 632775 661153 678000
35 543563 559829 588241 620109 651872 680845 698110
36 552930 569498 598584 631189 663457 693223 711060
37 575836 592776 622259 655413 688153 718519 736558
38 586891 604002 633806 667415 700551 731156 749683
39 602664 619542 649939 683735 717201 748145 766825
40 612129 628940 659734 693800 727661 758837 777636
41 619022 635968 666762 701118 735187 766201 785172
42 617577 634531 665345 699865 733918 764739 783879
43 618452 635634 666759 701125 734991 765908 784852
44 615016 632306 663336 697388 730836 761964 780760
45 621442 638771 669238 703114 736395 767434 785624
46 617914 634933 664960 698447 731474 762221 780388
47 614614 631235 661017 694136 726655 757347 774987
48 621282 637316 666435 699180 731067 761014 778569
49 632572 648177 676774 708684 739951 769103 786568
50 628848 643684 671669 702860 733506 761866 778887
51 636171 650593 677864 708299 738118 765485 782145
52 633467 647672 673995 703471 732484 759120 775145
53 633013 646579 671950 700409 728265 754086 769666
54 628490 641238 665655 693031 719681 744903 759594
55 631766 643745 667244 693397 718894 743401 756934
56 639578 651011 673462 698396 722686 746322 759063
57 660224 671281 692591 716340 739396 761614 774250
58 653929 664409 684701 707128 729100 750164 761925
59 662240 672192 691533 712781 733489 753545 764431
60 656425 665876 684203 704272 723930 742665 752873
61 667179 675884 693140 712189 730778 748352 758004
62 650116 658253 674562 692528 709896 726521 735688
63 649315 657229 672504 689513 705956 721462 730106
64 664815 672044 686591 702623 717915 732373 740558
65 671309 678046 691748 706889 721288 734775 742598
66 677759 684399 697204 711390 724922 737539 744979
67 694811 701460 713471 726768 739526 751471 758511
68 694408 701042 712214 724771 736756 747834 754780
69 705404 711962 722470 734396 745754 756214 762933
70 720289 726663 736414 747931 758689 768547 775102
71 750740 756575 765636 776991 787066 796906 802850
72 766263 771972 780628 791697 801479 810926 816235
73 789341 795211 803656 814477 823801 833257 838500
74 814287 820105 828740 839530 848673 858267 863592
75 833713 839826 848593 859456 868655 878122 883822
76 814005 820449 829298 840178 849263 858963 864409
77 806024 811891 821281 832539 841861 851868 856657
78 794897 800884 810621 822526 832251 842706 847431
79 767228 773222 783465 795887 806068 816671 821902
80 763793 769982 781460 794792 806249 817063 822585
81 731415 737664 749880 764156 776032 787574 793750
82 702693 709787 722849 738327 751211 763552 770457
83 673479 681162 695428 712314 726608 739780 747842
84 633444 641633 657113 675299 690945 705083 713975
85 599012 607582 624244 644219 661597 677096 686800
86 519334 527962 544946 564973 582910 598437 608326
87 456917 465820 483297 503881 522660 538717 549294
88 401179 410793 428277 449778 469460 486429 497267
89 341988 352115 369883 391315 411687 428886 440098
90 288338 298329 316298 337563 358478 375833 387633
91 233117 242964 260204 280562 301078 318700 330066
92 190868 200699 217730 237229 257925 275712 286908
93 151753 160419 176558 195045 215198 232327 243541
94 117178 125179 140029 157113 176290 192780 203385
95 88227 95554 108686 124201 142036 158097 167868
96 62278 68369 79484 92725 108275 123002 131495
97 43947 49021 58414 69782 83645 96941 104892
98 30296 34382 42053 51639 63844 75453 82985
99 21036 24204 30500 38575 49167 59609 66991
100 13549 15866 20671 26982 35730 44607 50928
101 8597 10390 13974 18856 25978 33332 38916
102 4886 6017 8441 11808 16960 22632 26866
103 2708 3420 4990 7274 10977 15124 18410
104 1076 1406 2138 3259 5181 7416 9283
105 547 738 1172 1875 3146 4710 6072
106 255 354 592 994 1773 2786 3715
107 108 155 276 491 934 1544 2110
108 43 64 121 230 470 816 1143
109 17 27 54 109 241 442 638
110 8 13 30 67 167 336 511
