# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2031 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 403142 415811 435909 460231 483453 504552 517422
1 405316 417319 436753 459899 482018 501978 514313
2 408230 419371 437894 460109 481006 499868 511598
3 410706 421437 438815 459858 479632 497386 508432
4 413786 423988 440634 460610 478922 495820 506144
5 415725 425143 440618 459264 476443 492168 501610
6 418453 426632 441113 458336 474258 488741 497460
7 421227 428492 442051 457594 472044 485617 493641
8 424067 430582 442991 457053 470273 482549 489803
9 426637 432785 443993 456539 468320 479369 485926
10 429748 435165 445127 455949 466649 476377 482056
11 433098 437684 446440 455814 465087 473620 478334
12 435090 438708 446285 454296 461971 469172 473387
13 463760 465668 469538 473730 477790 481711 483866
14 481959 483945 487695 491791 495798 499623 501819
15 496265 498286 502009 506016 509988 513790 515889
16 513468 515412 519130 523137 527137 530847 532952
17 523686 525744 529462 533524 537518 541299 543433
18 547812 550029 553726 557987 562105 565934 568143
19 560414 562743 566690 571171 575512 579579 581822
20 578131 580702 584955 589809 594600 599020 601379
21 590336 593228 597816 603219 608489 613384 615957
22 600426 603585 608732 614785 620576 626216 629115
23 602366 605876 611643 618442 624913 631308 634540
24 607049 610975 617434 625070 632343 639511 643127
25 606735 611130 618388 626872 635006 642907 646962
26 615888 620802 628862 638235 647292 655842 660422
27 614674 620062 628775 639021 649062 658199 663257
28 613658 619386 628940 639959 650741 660727 665957
29 622081 628170 638431 650094 661587 672226 677875
30 635032 641465 652114 664456 676431 687573 693601
31 632456 639235 650364 663057 675385 686814 693353
32 641574 648381 659710 672775 685404 697174 703853
33 640314 647178 658625 671829 684661 696411 703389
34 641012 647706 659328 672452 685170 697181 704082
35 637631 643839 655760 668500 681081 693095 699781
36 642082 648105 659792 672256 684682 696336 702971
37 651213 657240 668460 680626 692669 704078 710427
38 673935 679634 690508 702160 713686 724816 730905
39 668996 674317 684774 695954 706977 717553 723548
40 679355 684321 694279 704952 715438 725523 731242
41 675187 679824 689263 699478 709412 718948 724238
42 687926 692474 701313 710972 720368 729282 734257
43 672467 676737 685113 694165 703032 711415 716027
44 674183 678163 686125 694612 702949 710761 715177
45 692721 696521 704021 711950 719770 727158 731190
46 702270 705938 712954 720371 727689 734614 738487
47 712323 715788 722358 729321 736188 742703 746316
48 734116 737385 743545 750073 756553 762643 766023
49 737963 740995 746771 752938 759060 764711 767914
50 754654 757449 762870 768671 774395 779681 782731
51 775973 778566 783629 789112 794455 799499 802322
52 814599 817173 821904 827076 832079 836827 839478
53 838841 841177 845620 850531 855256 859794 862203
54 872972 875229 879389 884051 888531 892811 895080
55 910886 913026 916976 921385 925647 929623 931852
56 944915 947051 950752 954886 958926 962658 964735
57 936583 938582 942050 945976 949804 953313 955303
58 943055 944885 948297 951988 955628 958916 960778
59 948734 950572 953680 957241 960695 963803 965625
60 937362 939162 942088 945496 948721 951750 953465
61 959433 961209 963900 967227 970344 973173 974824
62 948903 950625 953171 956369 959289 962103 963655
63 947859 949524 952011 955091 957942 960606 962070
64 951026 952701 955085 958109 960849 963497 964923
65 943625 945346 947661 950634 953276 955907 957370
66 949753 951511 953811 956718 959320 961918 963422
67 885654 887306 889623 892431 894969 897462 898959
68 849533 851216 853486 856287 858813 861284 862764
69 825316 826970 829212 832049 834581 837012 838496
70 792416 793987 796340 799170 801711 804101 805553
71 765365 766814 769335 772195 774722 777265 778664
72 722983 724348 726947 729807 732348 734894 736256
73 706495 707884 710555 713613 716254 718951 720209
74 681920 683278 686138 689312 692073 694837 696186
75 657868 659323 662314 665653 668590 671542 672891
76 635738 637345 640421 643977 647123 650156 651554
77 593665 595310 598444 602147 605469 608590 610002
78 570270 572012 575359 579353 582923 586191 587776
79 552364 554192 557839 562205 566073 569628 571425
80 553937 555980 560049 565032 569457 573448 575474
81 535780 537976 542503 547987 552846 557293 559545
82 534481 536870 542117 548357 553967 559013 561635
83 496043 498606 504236 510880 516972 522234 525192
84 467156 469920 476064 483310 489964 495668 498877
85 335983 338320 343361 349418 354982 359798 362485
86 319738 322435 327918 334559 340738 346096 349021
87 293848 296815 302855 309854 316519 322281 325458
88 262453 265645 271999 279310 286413 292402 295704
89 233693 237110 243715 251355 258880 265259 268693
90 223170 227034 234449 243043 251621 258858 262814
91 187154 191017 198248 206781 215348 222520 226566
92 151732 155541 162368 170560 178839 185748 189714
93 114706 118194 124248 131497 138923 145197 148604
94 85982 88940 94329 100657 107180 113017 116039
95 68122 70905 75888 81704 87938 93460 96431
96 49661 52185 56407 61362 66790 71713 74336
97 35147 37216 40751 44867 49485 53709 56063
98 24114 25717 28580 31888 35712 39231 41249
99 16407 17650 19903 22533 25628 28506 30250
100 11107 12046 13823 15895 18422 20729 22207
101 6333 6953 8110 9481 11193 12790 13835
102 3663 4077 4846 5768 6941 8075 8833
103 2014 2268 2748 3342 4106 4869 5386
104 1023 1169 1447 1800 2260 2734 3061
105 492 570 723 922 1189 1469 1663
106 223 261 339 444 588 744 850
107 95 114 151 203 278 359 416
108 37 44 61 84 118 157 185
109 13 16 23 33 48 66 79
110 6 7 10 15 23 33 40
