# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2049 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 341269 361574 393066 433993 473742 512116 534214
1 347497 367385 398621 439362 478257 515792 537506
2 354198 373222 404559 444565 482921 519900 540897
3 360329 379041 410461 450013 487526 524146 544389
4 366320 385059 416158 455580 492627 528200 548232
5 371583 390314 421218 460218 496624 531794 551373
6 376118 395404 426047 464438 500374 534983 554126
7 381021 400368 430473 468515 503970 537717 556817
8 385425 404823 434122 471493 506812 539921 558111
9 389560 408681 437327 474303 508843 541593 558697
10 393106 412666 440869 476835 510704 542983 560169
11 396721 415395 443539 478638 511715 543464 560386
12 400236 418409 445938 480285 513202 543688 560601
13 403195 420788 447924 481653 513616 543083 560235
14 407114 423496 450193 482870 514071 542731 559677
15 411098 425986 452209 483710 513766 541888 557914
16 413957 429010 454511 485008 513966 541307 557143
17 417382 431808 456804 486336 514483 540739 555918
18 422162 435700 459898 488642 515865 541315 555927
19 426927 439446 462977 490970 517540 542193 556041
20 431951 444769 467175 494642 520393 544335 557577
21 438146 449468 472194 498636 523983 547637 559619
22 444571 456167 478308 504284 528855 551695 564133
23 449160 461674 482825 508296 532696 554655 567044
24 454147 466492 487793 512948 537501 559282 571648
25 459203 471066 493000 517779 542259 564356 576531
26 464377 475453 497288 522638 546965 569065 582545
27 468220 479617 501249 527239 551986 573749 587400
28 471299 483136 505271 531402 557353 580098 592344
29 472965 486652 508374 535603 562003 585908 598706
30 473424 487518 510052 537979 565202 588735 603139
31 494251 508949 533050 560742 588121 613074 628206
32 512777 527798 552784 581627 610121 636002 651689
33 527150 542413 568601 598151 627831 654470 670413
34 543941 559628 586414 616952 647415 675085 691235
35 553309 569483 596985 628350 659306 687912 704636
36 576564 592808 620914 652864 684381 713664 730896
37 587499 603813 632737 665121 697049 726834 744324
38 603045 619493 648904 681670 714069 744197 762032
39 612678 629047 658968 691936 724845 754928 773052
40 619537 636164 666209 699433 732489 762684 780880
41 617787 634818 664787 698341 731544 761572 779938
42 618891 636008 666339 699738 732743 763086 781390
43 615602 632711 662824 696138 728803 759233 777326
44 622133 639159 669058 701999 734562 764962 782806
45 618662 635220 664763 697451 729783 759986 777555
46 615477 631602 660811 693250 725038 754841 772276
47 622217 637672 666373 698408 729756 758875 776117
48 633365 648522 676816 708032 738809 767220 784303
49 629561 644164 671527 702322 732518 760426 776834
50 636893 651225 677945 707899 737216 764217 780414
51 634301 648286 674374 703211 731658 757967 773692
52 633925 647247 672389 700302 727625 753332 768468
53 629434 642085 666204 693080 719206 744324 758576
54 632801 644793 667908 693621 718690 742833 756212
55 640832 652249 674209 698808 722732 745936 758512
56 661732 672617 693536 716970 739793 761716 773909
57 655507 665715 685772 707929 729559 750376 761868
58 664100 673914 692779 713800 734277 753956 764572
59 658458 667790 685732 705491 724922 743393 753360
60 669342 677916 695010 713669 731994 749413 758844
61 652298 660351 676540 694201 711444 727712 736728
62 651927 659607 674647 691430 707629 722953 731487
63 667646 674832 689012 704847 720023 734247 742243
64 674420 680967 694524 709417 723664 736918 744680
65 681158 687515 700232 714268 727641 740179 747296
66 698602 705152 716868 730092 742686 754457 761322
67 698797 704964 716129 728497 740338 751361 758089
68 710241 716633 726963 738652 749799 760197 766573
69 725744 731979 741522 752806 763410 773182 779397
70 756886 762727 771698 782687 792649 802197 808113
71 773591 778927 787467 798208 807726 816916 822288
72 797744 803410 811525 822009 831299 840275 845329
73 824008 829630 837833 848260 857052 866251 871489
74 845038 850688 859252 869565 878416 887402 892521
75 826864 832720 841124 851427 860174 869089 874417
76 820285 826290 834832 845368 854196 863445 868487
77 811601 817099 826239 837228 846259 855962 860857
78 785952 791663 801123 812518 821855 832020 836792
79 785698 791561 802021 814278 824481 834797 839897
80 756188 761963 773185 786225 797194 807818 813269
81 731164 737439 749413 763472 775248 786486 792551
82 705681 712677 725395 740910 753877 765879 772775
83 669175 676584 690659 707215 721174 734173 742085
84 638592 646427 661667 680054 695676 709815 718370
85 559936 567993 583389 601906 617990 632514 641337
86 499186 507534 523669 542681 559837 574534 584019
87 445156 453862 470665 490500 508722 524262 534192
88 386576 395655 412150 432804 451564 467780 477993
89 331797 341618 358613 379124 398625 415116 426166
90 274376 283335 300314 320221 339959 356550 367424
91 229401 238896 255494 275299 295388 312597 323429
92 185775 195165 211347 230376 250308 267468 278281
93 147682 156117 171439 189354 208679 225150 235715
94 114435 122375 136750 153192 171808 187422 197751
95 83469 90619 102749 117227 133861 148665 157842
96 60938 66815 77684 90395 105448 119583 127724
97 43504 48509 57649 68673 82240 95178 102823
98 31245 35414 43216 52847 65128 76986 84512
99 20981 24177 30354 38209 48520 58842 65964
100 13984 16482 21339 27743 36586 45478 51860
101 8344 10081 13466 18122 24921 31872 37152
102 4867 6025 8344 11662 16719 22146 26393
103 2062 2612 3778 5479 8215 11288 13704
104 1113 1448 2189 3314 5237 7463 9290
105 550 736 1170 1855 3098 4599 5930
106 253 347 581 969 1714 2669 3526
107 108 155 273 482 907 1494 2029
108 47 70 130 245 495 857 1192
109 17 26 52 104 227 414 592
110 8 13 28 62 151 302 456
