# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2030 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 404586 416242 435522 458697 480579 500576 512489
1 406997 418358 436735 458881 479541 498467 509918
2 409881 420524 437813 458604 478361 496517 506876
3 413191 423239 439479 459326 477658 494685 504499
4 414668 424336 439595 457948 475101 490774 500258
5 417096 425872 439945 456986 472882 487163 496182
6 419751 427622 440635 456205 470687 483993 491888
7 422786 429474 441404 455622 468736 480854 488020
8 425756 431450 442584 455062 466651 477663 484061
9 428733 433980 443730 454419 464935 474506 480286
10 431884 436427 444961 454221 463230 471574 476395
11 433852 437574 444839 452629 460052 467166 471100
12 462975 464746 468219 471970 475630 479156 481098
13 481099 482817 486215 489909 493511 496983 498897
14 495266 497049 500358 503964 507518 510921 512804
15 512201 513987 517279 520837 524363 527719 529571
16 522248 524003 527294 530842 534396 537704 539526
17 545971 547823 551082 554730 558289 561641 563528
18 558036 560012 563335 567141 570809 574257 576174
19 575234 577321 580858 584896 588820 592451 594466
20 586928 589258 593040 597442 601775 605711 607853
21 596567 599171 603346 608276 613065 617565 619848
22 598341 601190 605889 611403 616732 621875 624471
23 603012 606174 611476 617750 623740 629622 632557
24 602926 606488 612450 619511 626256 632870 636190
25 612460 616508 623205 631018 638576 645887 649576
26 611473 616009 623420 632069 640447 648455 652577
27 610799 615831 623928 633358 642620 651136 655711
28 619683 624931 633702 643902 653906 663062 667916
29 632969 638665 647965 658706 669354 679031 684218
30 630780 636685 646477 657758 668700 678866 684394
31 640185 646142 656340 667931 679214 689681 695566
32 639033 645195 655524 667424 678918 689620 695673
33 639971 646193 656554 668470 679969 690766 696975
34 636701 642557 653259 664912 676280 687213 693247
35 641488 646927 657628 669033 680392 691109 697001
36 650798 656301 666639 677735 688833 699221 705022
37 673633 678860 688867 699575 710277 720287 726005
38 668795 673767 683387 693631 703801 713513 718973
39 679268 683918 693047 702875 712601 721895 727005
40 675230 679533 688251 697614 706823 715643 720536
41 688047 692200 700418 709315 718006 726320 730806
42 672621 676539 684332 692669 700854 708586 712879
43 674452 678141 685478 693292 701006 708212 712232
44 693040 696651 703493 710811 718015 724832 728585
45 702689 706143 712558 719400 726157 732568 736112
46 712806 716062 722060 728511 734829 740847 744164
47 734690 737729 743401 749435 755371 761017 764110
48 738630 741455 746797 752457 758108 763312 766243
49 755374 758052 763027 768375 773680 778542 781296
50 776876 779316 783960 789023 793973 798578 801162
51 815790 818106 822478 827245 831879 836225 838635
52 840130 842379 846446 850961 855315 859465 861694
53 874619 876695 880518 884789 888905 892831 894907
54 912837 914798 918393 922463 926375 930040 932063
55 947162 949117 952520 956328 960024 963472 965386
56 939022 940904 944132 947691 951205 954458 956255
57 945844 947554 950643 954031 957383 960429 962128
58 951850 953496 956408 959637 962808 965686 967310
59 940844 942416 945134 948226 951216 953981 955529
60 963292 964955 967441 970448 973310 975923 977439
61 953167 954731 957078 959986 962692 965239 966628
62 952597 954103 956358 959165 961750 964212 965538
63 956303 957831 959964 962685 965194 967574 968860
64 949442 950983 953059 955707 958112 960455 961755
65 956189 957788 959837 962443 964787 967104 968467
66 892345 893866 895856 898376 900672 902887 904194
67 856711 858176 860194 862656 864879 867092 868405
68 833017 834492 836491 838959 841185 843376 844694
69 800707 802091 804112 806596 808830 810968 812266
70 774264 775599 777730 780230 782492 784658 785892
71 732344 733583 735790 738298 740533 742729 743958
72 716781 717992 720323 722921 725229 727553 728702
73 693051 694280 696663 699393 701782 704194 705325
74 669963 671205 673773 676642 679169 681648 682847
75 648995 650318 652989 656014 658701 661327 662539
76 607708 609144 611820 614964 617757 620425 621693
77 585771 587274 590097 593477 596495 599313 600624
78 569639 571257 574321 578001 581288 584267 585809
79 573984 575707 579210 583372 587089 590478 592218
80 558277 560150 563986 568596 572708 576441 578377
81 560492 562551 566969 572234 576989 581244 583419
82 524073 526240 531027 536653 541776 546297 548772
83 497709 500096 505280 511465 517119 522002 524748
84 361538 363446 367878 373063 377872 382015 384309
85 347829 350022 354886 360633 365952 370585 373120
86 323841 326391 331593 337807 343621 348659 351372
87 293685 296347 301976 308457 314623 319957 322880
88 265892 268839 274748 281600 288275 293902 296987
89 258597 262030 268818 276646 284319 290852 294401
90 221194 224755 231517 239391 247304 253804 257456
91 183193 186734 193224 200948 208591 215135 218801
92 141613 144928 150839 157864 165002 170953 174333
93 108736 111747 117168 123423 129858 135357 138322
94 88729 91541 96663 102624 108755 114259 117145
95 66818 69382 73839 79068 84623 89534 92245
96 48775 51052 54861 59311 64146 68520 70899
97 34552 36384 39583 43312 47430 51196 53282
98 24409 25907 28555 31598 35074 38271 40105
99 17210 18431 20600 23101 26017 28728 30342
100 10297 11135 12629 14370 16450 18374 19553
101 6289 6869 7916 9156 10662 12071 12999
102 3657 4038 4729 5566 6594 7584 8248
103 1973 2209 2629 3155 3807 4460 4895
104 1013 1145 1393 1707 2105 2509 2787
105 489 560 697 871 1100 1335 1497
106 225 261 332 425 550 682 772
107 93 110 143 188 250 316 363
108 37 44 59 80 108 141 163
109 13 16 22 30 43 57 67
110 4 5 7 10 15 21 25
