# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2035 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 396474 410769 435561 464343 491924 517017 532912
1 398624 412484 436319 464372 490839 515419 530702
2 401372 414568 437675 464654 490029 513761 528785
3 403542 416308 438785 464636 488927 512239 526338
4 406264 418611 439990 465087 488528 510468 524205
5 408650 420211 440883 464867 487075 507890 521154
6 411783 422610 442405 465199 486252 506037 518588
7 414283 424779 443715 465082 485107 503965 515815
8 417744 427725 445725 465980 484746 502549 513731
9 419844 428986 446089 464795 482395 499222 509378
10 422467 431060 446637 464047 480436 496229 505249
11 425224 433152 447432 463506 478722 493067 501380
12 428078 435309 448610 463198 477118 490269 497819
13 431315 437750 449773 462964 475612 487531 494218
14 434695 440202 451141 462723 474412 484928 490807
15 438165 443139 452505 463043 473194 482411 488139
16 440281 444782 452776 462156 470974 478927 483851
17 467951 470837 476397 482496 488477 494164 497198
18 486987 490163 495724 501910 508042 513690 516854
19 502567 505937 511592 518083 524360 530272 533651
20 521239 524836 530909 537777 544424 550670 554237
21 533390 537246 543778 551219 558442 565177 568991
22 559437 563633 570672 578876 586769 594407 598253
23 573412 578090 585882 595023 603775 612155 616449
24 592186 597298 605879 616018 625696 634958 639734
25 604662 610311 619813 630976 641620 651868 657175
26 614304 620521 630987 643227 654985 666178 672052
27 615212 622028 633561 646791 659617 671777 678110
28 618830 626070 638485 652699 666498 679617 686377
29 617138 625035 638136 653350 667915 681783 689465
30 624960 633223 647274 663261 678742 693383 701498
31 622048 630965 645762 662428 678564 693936 702428
32 619894 629119 644313 661652 678341 694123 703132
33 627316 636607 652203 670024 687267 703394 712646
34 639170 648734 664572 682634 700112 716482 726047
35 635902 645406 661371 679559 697296 713826 723462
36 644161 653636 669632 687667 705293 721784 731510
37 642344 651325 667461 685246 702908 719150 728677
38 642271 651044 667075 684516 701939 717954 727215
39 638365 646658 662203 679350 696199 711989 721046
40 642324 650297 665397 682001 698201 713600 722298
41 651254 658861 673416 689366 704942 719817 728126
42 673615 680628 694728 709955 724854 739064 747219
43 668309 674835 688423 702959 717098 730718 738355
44 678243 684495 697369 711191 724592 737580 744614
45 673837 679871 691944 705041 717637 730024 736695
46 686466 692046 703496 715846 727846 739380 745630
47 670777 676093 686869 698468 709793 720592 726440
48 672076 677286 687440 698318 708949 719133 724648
49 690425 695222 704778 715007 725061 734611 739785
50 699742 704265 713214 722808 732268 741255 746129
51 709453 713741 722088 731110 740020 748412 753002
52 730729 734791 742634 751104 759472 767337 771732
53 734104 737863 745261 753252 761142 768481 772620
54 750057 753643 760567 768116 775440 782439 786374
55 770514 773985 780442 787585 794498 801098 804736
56 808196 811468 817568 824351 830868 837085 840582
57 831434 834432 840259 846640 852846 858630 861913
58 864375 867302 872789 878800 884643 890030 893158
59 900916 903749 908960 914630 920198 925207 928168
60 933484 936213 941112 946519 951756 956560 959375
61 923921 926652 931168 936380 941331 945878 948577
62 928847 931647 935807 940842 945565 949813 952487
63 933014 935702 939596 944446 948886 953114 955531
64 920266 922807 926542 931211 935487 939497 941777
65 940093 942598 946208 950745 954889 958792 961067
66 927742 930192 933694 938150 942093 946009 948145
67 924504 926992 930395 934755 938526 942434 944641
68 924995 927591 931027 935305 939084 942848 945149
69 915010 917668 921072 925378 929158 933005 935220
70 917790 920286 923933 928319 932201 936028 938249
71 852489 854986 858621 862955 866798 870543 872613
72 814216 816525 820341 824702 828484 832357 834377
73 787228 789309 793341 797792 801714 805649 807636
74 751597 753654 757783 762398 766342 770467 772430
75 721197 723256 727610 732442 736535 740781 742803
76 676202 678280 682701 687702 691950 696215 698262
77 655026 657249 661871 667190 671815 676303 678316
78 625681 628060 632908 638582 643506 648269 650338
79 596000 598700 603746 609827 615071 620095 622418
80 567540 570384 575728 582299 588017 593302 595924
81 520825 523643 529308 536135 542071 547731 550292
82 490228 493137 499258 506645 513121 519010 522108
83 463467 466634 473292 481344 488439 494803 498126
84 452171 455663 463085 472123 480252 487396 491207
85 423459 427282 435400 445171 454053 461675 466075
86 407000 411495 420589 431374 441348 449905 454860
87 361826 366629 376089 387176 397652 406572 411689
88 324662 329725 339686 351231 362408 371922 377181
89 220372 224459 232335 241660 250751 258475 262676
90 196980 201483 209739 219468 229134 237465 241782
91 168720 173320 181685 191544 201661 210067 214607
92 139565 144130 152316 161966 171909 180283 184896
93 114594 118915 126829 136160 145968 154239 158665
94 99984 104506 112533 122225 132522 141329 146070
95 76019 79935 87213 95848 105253 113428 118037
96 55237 58700 64997 72325 80660 87949 92188
97 37093 39877 44824 50660 57469 63556 67155
98 24459 26631 30490 35035 40512 45487 48513
99 16938 18647 21770 25484 30110 34348 36993
100 10742 11930 14238 16987 20517 23872 25979
101 6489 7298 8881 10847 13441 15919 17561
102 3713 4238 5302 6617 8415 10180 11418
103 2066 2402 3075 3940 5164 6385 7278
104 1123 1329 1755 2309 3119 3969 4589
105 507 612 830 1130 1577 2067 2425
106 228 282 396 557 807 1090 1302
107 96 122 177 258 389 543 659
108 37 48 72 110 172 248 307
109 13 18 27 44 72 107 135
110 6 8 14 24 42 66 87
