# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2044 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 369458 387875 417365 454777 489974 523688 543024
1 375084 392719 422044 458854 493349 526662 545023
2 379634 397371 426195 462771 496647 529604 547723
3 383408 401195 429893 465572 499220 530862 549236
4 386880 405206 433295 468188 501173 532477 550388
5 390623 408536 436481 470507 502979 533580 551268
6 393150 411295 438680 472072 503822 534031 550902
7 396277 414158 440903 473449 504634 534175 550400
8 399560 416394 442428 474503 504941 533434 549268
9 402009 418634 444271 475337 504976 532805 547861
10 404738 420927 445573 475690 504488 531389 546321
11 407639 423069 446993 476331 504222 530235 544925
12 410246 425227 448450 476718 503633 528624 542895
13 413644 427761 450361 477634 503579 527957 541503
14 416848 429903 451876 477963 502596 526198 539191
15 420538 432746 453907 478968 502537 525050 537211
16 424178 435719 455981 479721 502441 523586 535265
17 428844 439651 458904 481809 503201 523299 534242
18 432061 442311 460772 482316 502545 521618 532465
19 436541 445936 463415 483946 503119 521135 531566
20 441421 450690 467113 486566 505161 521928 531580
21 446876 455687 471444 490172 508148 524433 533638
22 452227 461485 476364 494458 512034 527284 536715
23 458028 466351 481894 499122 516568 532057 541103
24 463673 471871 486858 504450 521521 536599 546017
25 466106 475234 489980 508372 525827 541811 550199
26 489843 499060 514908 532970 550712 567167 576332
27 509527 519461 536466 555836 574839 592356 602470
28 525097 535597 553747 574393 594530 613286 624211
29 542880 554049 573217 595227 616703 636588 648157
30 553496 565113 585511 608591 631222 652311 664485
31 577421 589383 610607 635003 658616 680891 693729
32 588834 601486 623701 649015 673660 696554 710127
33 604718 618048 641088 667186 692730 716309 730162
34 614692 628422 652216 678913 705263 729417 743346
35 621899 636017 660306 687717 714711 739413 754015
36 621049 635194 659871 687777 715112 740352 755069
37 622719 636888 662193 690209 718042 743523 758418
38 619537 633654 659419 687518 715577 741210 756378
39 625766 640214 665871 694227 722338 748224 763223
40 621802 636345 662166 690434 718563 744610 759582
41 618400 633169 658793 686930 714918 740848 755697
42 625153 639390 664826 692769 720494 746055 760727
43 636711 650238 675332 703064 730510 755806 770217
44 632956 646138 670673 697948 724822 749955 764101
45 640687 653694 677416 704150 730375 754740 768835
46 638223 650822 674116 700050 725523 749448 762961
47 637974 650210 672572 697770 722294 745926 758808
48 633711 645253 667035 691197 714823 737881 750087
49 637413 648155 669292 692484 715053 737308 748930
50 645930 656174 676428 698506 720040 741409 752382
51 667634 677203 696540 717665 738129 758421 768879
52 661949 671070 689438 709450 729033 748078 758153
53 671357 679885 697388 716308 734818 752969 762480
54 666508 674496 690957 708888 726406 743391 752370
55 678236 685755 701186 718177 734765 750737 759298
56 661875 669071 683527 699557 715233 730237 738270
57 662211 669267 682745 697888 712667 726602 734248
58 678953 685711 698478 712713 726540 739777 747034
59 686716 693041 705157 718658 731653 744018 750935
60 695106 700797 712312 724973 737240 748733 755408
61 714336 719810 730634 742597 754119 764737 771046
62 715925 721068 731346 742603 753467 763491 769315
63 729473 734552 744317 754842 765076 774415 780068
64 747505 752515 761466 771409 781067 789923 795298
65 781623 786601 795017 804500 813555 821883 827098
66 801224 806315 814090 823216 831788 839686 844536
67 830006 834897 842186 851012 859152 866645 871533
68 861912 866288 873250 881888 889682 897151 901480
69 888776 893205 899979 908361 915988 923092 927350
70 875041 879492 886017 894204 901357 908474 912654
71 874538 878997 885288 893450 900332 907614 911548
72 872252 876960 883314 891370 898201 905077 909360
73 853797 858370 864772 872803 879677 886651 890770
74 864295 869232 875860 884126 891106 898243 902367
75 844836 849250 856117 864771 871830 879236 883243
76 832072 836612 844014 852962 860297 868296 871956
77 821694 825703 834086 843463 851332 859360 863298
78 799978 804235 813096 823131 831571 840094 844043
79 787285 792061 801477 812437 821709 830541 835204
80 715654 720372 729998 741099 750545 759550 764337
81 665497 670704 680613 692309 702237 711656 716608
82 623511 628939 639411 651997 662728 672598 678115
83 573592 579172 590154 603552 614916 625334 631321
84 526846 532706 544474 558574 570781 581717 588216
85 469301 475585 487510 502084 514868 526180 532790
86 428168 434829 447309 462705 476499 488574 495474
87 381336 388441 401356 417329 431869 444394 451763
88 334664 341881 355307 371748 387086 399891 407972
89 289979 297619 311203 327845 343869 357305 365815
90 238846 246817 259764 275753 291778 305134 313348
91 198809 206866 219795 235570 251687 265419 273618
92 164087 171806 184666 199970 216062 229962 238086
93 137768 145108 158100 173410 189880 204226 212511
94 109142 115920 128200 142706 158555 172591 180728
95 87017 93711 105306 119087 134868 148488 156702
96 63267 68750 78717 90693 104864 117599 124986
97 45674 50372 58728 69150 81846 93375 100094
98 24353 27253 32596 39309 47690 55593 60584
99 16823 19180 23597 29201 36482 43445 48199
100 10932 12671 16101 20453 26408 32255 36251
101 6700 7883 10349 13570 18157 22750 26167
102 3944 4738 6424 8716 12135 15655 18431
103 2399 2944 4137 5818 8454 11242 13483
104 1228 1548 2262 3309 5020 6949 8500
105 583 758 1156 1762 2818 4059 5068
106 248 333 527 845 1425 2131 2742
107 100 138 228 387 691 1085 1426
108 41 58 101 180 342 566 765
109 14 21 39 75 151 262 366
110 7 10 21 44 98 187 273
