# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2041 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 382131 399489 428040 462292 495369 526298 544413
1 385920 402909 431185 464831 497077 527531 545058
2 389561 406174 434172 467063 498927 528129 545430
3 392657 408853 436039 468533 499974 528611 545343
4 395776 411468 438105 469804 500728 528499 545342
5 398482 413797 439621 470742 500608 527503 543426
6 401059 416409 441465 471449 500500 526739 541992
7 403312 418038 442474 471662 499796 525414 540308
8 405921 420446 444113 472145 499391 524402 538750
9 408157 422521 445099 472349 498451 522663 536513
10 411034 424688 446684 473045 498191 521363 534937
11 413563 426235 448009 473099 496769 519401 532104
12 416232 428878 449599 473740 496149 517856 529811
13 419518 431602 451227 473984 495516 516254 527577
14 424143 434964 453487 475319 495714 515285 525966
15 426872 436672 454205 474688 493993 512357 522177
16 429687 439026 455624 474680 492840 509965 518972
17 433133 441940 457283 475185 492253 507997 516923
18 437495 445205 459718 476405 492062 506776 515384
19 441993 449478 462777 478354 493190 506587 514486
20 447042 454242 466544 481030 495320 508072 515386
21 452342 459284 471001 484936 498438 510261 517299
22 456650 462962 474434 488101 501061 512671 519753
23 482609 488849 499838 512602 524907 536670 542709
24 503428 510100 522188 535882 549165 562000 568470
25 519986 527232 540311 555212 569678 583586 590539
26 538849 546709 560860 577058 592715 607791 615352
27 550346 558837 574029 591573 608436 624754 632830
28 574995 584191 600409 619231 637334 654784 663542
29 587376 597282 614467 634505 653757 672228 681749
30 604057 614478 632800 653938 674233 693811 703989
31 614486 625458 644807 666886 688224 708553 719228
32 622316 633647 653942 676850 699033 719968 731387
33 621564 633270 654378 677987 701051 722593 734442
34 623441 635583 657198 681406 705020 727123 739397
35 620288 632898 655101 679598 703780 726221 738749
36 626899 639589 662323 687107 711581 734474 747026
37 623292 636103 659018 684017 708687 731801 744525
38 620342 633153 655978 681139 705853 728957 741850
39 627029 639682 662455 687556 712245 735217 748333
40 638168 650876 673401 698375 722910 745721 758805
41 634400 646903 669078 693723 717914 740496 753428
42 642396 654341 676214 700377 724167 746297 759142
43 640047 651634 673017 696693 719817 741707 754351
44 639886 651027 671822 694808 717243 738638 750884
45 635777 646239 666293 688598 710214 731154 742672
46 639477 649577 668835 690256 711003 731237 742275
47 648156 657759 676064 696671 716478 735907 746332
48 670157 679020 696791 716290 735189 753629 763638
49 664580 672937 690023 708482 726421 743896 753437
50 674313 682144 698430 715840 732856 749308 758411
51 669697 677126 692379 708899 724974 740640 749024
52 681836 688793 703128 718777 733919 748853 756590
53 665783 672395 685892 700626 714899 728878 736274
54 666699 672923 685643 699530 713064 726155 733076
55 684046 690039 701982 715052 727816 740047 746674
56 692475 698223 709316 721677 733761 745159 751486
57 701186 706574 717042 728725 740047 750701 756700
58 721163 726312 736202 747247 757856 767881 773531
59 723531 728284 737657 748067 758082 767449 772766
60 738132 742623 751572 761315 770746 779482 784585
61 757134 761354 769771 778987 787837 796053 800972
62 792646 796914 804845 813486 821919 829528 834288
63 813820 818015 825355 833575 841479 848714 853207
64 844083 848395 855201 863091 870551 877395 881692
65 877556 881971 888332 895950 902967 909555 913663
66 907023 911171 917158 924617 931341 937813 941550
67 895496 899202 904930 912112 918568 924821 928477
68 897246 900992 906638 913534 919771 925855 929276
69 897908 901659 906985 913841 919749 925679 929188
70 881738 885553 890770 897517 903252 909298 912581
71 896111 900245 905504 912277 918053 923888 927407
72 879653 883570 889026 895794 901620 907453 910947
73 871046 875079 880664 887624 893517 899525 902778
74 865618 869354 875371 882586 888570 894930 898219
75 849455 852983 859523 867039 873299 879974 883167
76 844177 847511 854625 862682 869450 876258 879486
77 775682 779164 786367 794467 801281 808180 811446
78 731259 734857 742348 750756 757909 765111 768329
79 696292 700073 707804 716676 724249 731660 735261
80 652586 656619 664717 674065 682073 689881 693714
81 612663 616976 625390 635425 643969 652269 656427
82 559624 564068 572844 583422 592425 601019 605343
83 525772 530214 539746 551179 561005 570115 574965
84 484524 489557 499532 511570 522209 531725 537006
85 442616 447916 458429 471161 482559 492493 498293
86 401375 407134 418165 431557 443695 454253 460288
87 347970 354023 365172 378701 391253 401758 408140
88 306855 313359 324852 338686 351924 362866 369636
89 269295 275991 287727 301906 315728 327527 334325
90 240950 248009 260652 275585 290689 303278 310499
91 204806 212074 224789 239784 255135 268345 275620
92 177267 184624 197392 212913 228947 242777 250481
93 140426 147228 159248 173786 189368 202571 209994
94 111080 117443 128797 142486 157420 170377 177284
95 65535 69923 77860 87482 98390 107714 113077
96 50428 54409 61664 70484 80898 89855 94868
97 36757 40003 46346 54037 63285 71567 76480
98 25523 28125 33381 39752 47662 54949 59533
99 17264 19337 23538 28698 35347 41615 45745
100 12227 13965 17432 21800 27681 33363 37139
101 7409 8626 11076 14232 18671 23014 26140
102 4221 5003 6615 8773 11896 15074 17543
103 2174 2626 3580 4916 6914 9043 10726
104 1066 1319 1868 2660 3920 5277 6400
105 534 677 1002 1478 2281 3191 3934
106 238 310 478 736 1194 1742 2185
107 99 133 213 345 588 898 1151
108 39 53 90 152 273 438 574
109 14 20 36 64 121 202 274
110 7 10 20 38 80 145 203
