# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2023 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 415087 421593 433032 446577 459097 470941 477285
1 417641 423568 433619 445772 456808 467369 473053
2 420589 425653 434535 444868 454717 463950 468771
3 423833 427997 435468 444383 452726 460554 464464
4 425597 429006 435177 442471 449133 455426 458773
5 458535 459143 460256 461455 462656 463761 464367
6 476109 476714 477807 478977 480152 481230 481818
7 489739 490319 491380 492527 493675 494737 495307
8 506047 506602 507651 508765 509877 510927 511485
9 515275 515811 516829 517927 519004 520024 520596
10 538057 538582 539573 540649 541705 542698 543258
11 548839 549333 550322 551365 552408 553392 553928
12 564236 564737 565709 566724 567756 568709 569243
13 573610 574108 575069 576066 577079 578031 578542
14 580503 580992 581938 582940 583938 584883 585408
15 579056 579578 580487 581522 582531 583476 584001
16 580532 581057 581982 583039 584078 585032 585552
17 577433 577983 578950 580062 581159 582151 582685
18 584536 585154 586185 587394 588588 589671 590234
19 581974 582665 583820 585182 586533 587775 588378
20 580693 581490 582822 584386 585930 587394 588107
21 589808 590718 592267 594114 595920 597625 598492
22 604250 605315 607126 609284 611397 613389 614403
23 603864 605088 607169 609650 612079 614363 615535
24 615342 616779 619131 621921 624667 627268 628542
25 616664 618247 620873 623972 627055 629863 631240
26 619960 621699 624532 627885 631207 634189 635746
27 618936 620745 623823 627340 630864 633999 635678
28 625849 627663 630864 634538 638164 641475 643261
29 637388 639250 642548 646288 649956 653343 655238
30 662178 664040 667381 671114 674777 678224 680131
31 659080 660882 664281 667911 671512 674929 676806
32 671143 672889 676255 679759 683301 686641 688442
33 668554 670211 673462 676844 680309 683467 685218
34 682840 684393 687511 690754 694059 697103 698770
35 668474 669966 672905 676003 679115 682016 683620
36 671267 672678 675453 678395 681317 684084 685590
37 690870 692251 694826 697611 700355 702934 704387
38 701401 702694 705130 707736 710304 712737 714108
39 712341 713561 715852 718284 720688 722961 724213
40 735075 736205 738369 740638 742909 745026 746183
41 739699 740763 742795 744918 747053 749020 750111
42 757263 758254 760165 762154 764148 766006 767012
43 779574 780506 782288 784159 786026 787776 788714
44 819627 820496 822162 823923 825673 827316 828203
45 845101 845907 847460 849129 850773 852314 853134
46 880866 881648 883102 884664 886213 887654 888419
47 920654 921406 922768 924233 925687 927047 927763
48 956751 957483 958748 960139 961506 962789 963448
49 949948 950630 951831 953142 954429 955649 956255
50 958461 959090 960220 961465 962677 963823 964414
51 966331 966925 967992 969164 970310 971398 971948
52 957020 957584 958585 959693 960793 961807 962339
53 982132 982667 983618 984666 985703 986688 987164
54 974038 974567 975470 976456 977439 978367 978837
55 975984 976476 977346 978286 979231 980102 980564
56 982604 983063 983874 984783 985673 986511 986960
57 978610 979059 979817 980688 981541 982324 982769
58 988993 989454 990148 991001 991827 992581 992988
59 926253 926707 927361 928171 928956 929675 930058
60 892940 893359 893991 894762 895507 896195 896563
61 872181 872603 873206 873948 874670 875332 875676
62 842525 842941 843535 844250 844937 845578 845935
63 819333 819751 820324 821020 821686 822320 822669
64 779829 780232 780797 781475 782126 782732 783097
65 768784 769173 769756 770426 771064 771681 772048
66 749264 749673 750254 750923 751568 752182 752562
67 731103 731501 732077 732765 733419 734034 734387
68 715555 715929 716540 717240 717909 718529 718880
69 677957 678317 678949 679647 680311 680930 681271
70 662331 662679 663328 664062 664738 665411 665729
71 654455 654803 655494 656271 656992 657690 658030
72 671715 672110 672867 673723 674531 675289 675671
73 667709 668145 668966 669890 670768 671577 671980
74 687547 688022 688957 690005 691003 691914 692354
75 662488 662951 663955 665089 666148 667117 667614
76 651150 651636 652720 653967 655123 656184 656734
77 492984 493416 494342 495408 496410 497320 497777
78 495992 496467 497514 498712 499849 500861 501383
79 487263 487788 488954 490288 491554 492683 493273
80 469881 470468 471741 473213 474612 475831 476485
81 456430 457076 458484 460128 461687 463033 463806
82 481702 482448 484165 486176 488079 489709 490638
83 451786 452588 454463 456639 458693 460474 461470
84 414267 415169 417178 419463 421630 423530 424601
85 359001 359896 361932 364219 366406 368340 369402
86 311998 312949 314981 317293 319530 321452 322538
87 291244 292296 294482 297008 299464 301540 302707
88 254543 255641 257841 260432 262942 265081 266293
89 219040 220217 222415 225017 227556 229715 230991
90 184779 185917 188105 190684 193205 195344 196606
91 157714 158875 161077 163601 166100 168259 169446
92 136453 137710 139895 142432 144962 147146 148356
93 102157 103244 105164 107359 109560 111488 112539
94 79888 80968 82682 84657 86662 88432 89319
95 60961 61920 63438 65178 66981 68562 69357
96 44307 45140 46429 47889 49391 50755 51454
97 31556 32254 33314 34514 35759 36878 37495
98 21829 22363 23209 24164 25161 26054 26546
99 14817 15230 15877 16614 17389 18080 18480
100 9362 9649 10113 10640 11197 11702 11998
101 5789 5986 6306 6671 7059 7411 7628
102 3322 3448 3650 3884 4133 4359 4502
103 1238 1288 1374 1471 1576 1670 1732
104 507 530 568 612 660 703 731
105 277 291 315 341 371 398 415
106 157 165 179 196 215 232 243
107 90 95 104 115 127 138 145
108 41 44 49 54 61 66 70
109 14 15 17 19 21 23 24
110 8 9 10 12 13 15 16
