#"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
#"Popolazione per sesso ed età al 1° gennaio 2021 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 418589 423285 432379 442529 452296 461566 466384
1 421538 425698 433332 441976 450115 457935 462067
2 423324 426615 432894 439997 446474 452849 456155
3 457355 457690 458281 458913 459546 460134 460448
4 474852 475164 475746 476360 476982 477555 477865
5 488352 488660 489227 489829 490436 490997 491298
6 504535 504836 505388 505978 506573 507123 507412
7 513635 513923 514463 515041 515617 516162 516447
8 536286 536562 537088 537654 538215 538747 539029
9 546910 547179 547693 548245 548789 549305 549593
10 562152 562411 562920 563456 563993 564499 564782
11 571339 571596 572096 572617 573147 573642 573917
12 577996 578256 578751 579259 579785 580264 580536
13 576277 576533 577018 577528 578041 578525 578791
14 577351 577610 578081 578602 579116 579599 579866
15 573695 573955 574429 574960 575487 575974 576237
16 579984 580256 580741 581294 581842 582340 582607
17 576266 576573 577090 577679 578271 578801 579078
18 573607 573945 574509 575168 575828 576424 576727
19 581308 581696 582342 583103 583855 584562 584917
20 594540 594979 595748 596651 597541 598376 598799
21 593247 593772 594671 595743 596798 597783 598293
22 604312 604931 605976 607222 608450 609600 610191
23 605661 606370 607555 608979 610376 611678 612333
24 609333 610124 611461 613037 614601 616048 616769
25 608896 609770 611222 612943 614657 616187 616973
26 616470 617404 618995 620807 622624 624252 625109
27 628871 629815 631480 633365 635245 636951 637876
28 654491 655440 657150 659094 661011 662775 663736
29 652162 653133 654876 656811 658721 660518 661503
30 664995 665944 667731 669603 671486 673268 674239
31 663126 664035 665789 667606 669463 671198 672134
32 678102 678971 680673 682419 684228 685875 686795
33 664377 665200 666822 668500 670215 671804 672694
34 667745 668539 670077 671677 673297 674832 675654
35 687919 688662 690109 691629 693158 694599 695394
36 698905 699630 700977 702413 703849 705184 705936
37 710267 710935 712209 713557 714894 716157 716859
38 733376 734015 735210 736468 737729 738908 739552
39 738337 738939 740058 741235 742421 743515 744118
40 756222 756783 757838 758941 760051 761077 761636
41 778835 779360 780343 781382 782415 783387 783903
42 819219 819705 820624 821599 822570 823482 823971
43 845007 845458 846322 847236 848148 849002 849460
44 881126 881552 882359 883222 884081 884879 885301
45 921276 921680 922444 923249 924056 924809 925194
46 957760 958150 958859 959616 960371 961082 961447
47 951230 951603 952270 952985 953692 954361 954704
48 960075 960431 961064 961736 962403 963037 963352
49 968329 968668 969256 969894 970528 971124 971424
50 959398 959703 960261 960864 961463 962027 962311
51 985067 985360 985884 986453 987025 987552 987823
52 977459 977734 978234 978771 979314 979821 980073
53 979962 980237 980705 981214 981726 982210 982450
54 987203 987452 987907 988394 988882 989342 989578
55 983830 984061 984490 984960 985427 985863 986092
56 994984 995218 995614 996062 996508 996919 997144
57 932510 932744 933105 933538 933965 934356 934568
58 899683 899909 900252 900668 901074 901449 901650
59 879581 879799 880123 880520 880911 881264 881452
60 850531 850749 851057 851436 851812 852150 852333
61 828004 828219 828520 828886 829245 829575 829754
62 788957 789168 789463 789813 790156 790475 790657
63 778766 778969 779261 779609 779946 780263 780446
64 760081 760286 760578 760922 761254 761564 761755
65 742867 743071 743373 743714 744048 744362 744559
66 728382 728585 728884 729232 729575 729888 730078
67 691483 691671 691973 692320 692657 692972 693146
68 677027 677209 677532 677884 678228 678547 678720
69 670680 670863 671194 671568 671924 672268 672430
70 690351 690534 690899 691310 691700 692069 692250
71 688430 688632 689026 689466 689890 690283 690483
72 711413 711638 712079 712574 713046 713486 713702
73 688300 688536 689006 689533 690043 690513 690731
74 679675 679919 680437 681014 681566 682069 682324
75 517550 517761 518204 518700 519176 519607 519822
76 523975 524198 524697 525256 525792 526272 526520
77 518735 518980 519526 520148 520747 521276 521546
78 504745 505007 505614 506295 506956 507539 507844
79 495362 495662 496332 497095 497834 498469 498823
80 529126 529496 530314 531247 532148 532921 533362
81 503203 503593 504483 505514 506503 507353 507841
82 468683 469108 470063 471167 472226 473141 473659
83 413530 413978 414953 416076 417156 418094 418629
84 366823 367272 368291 369438 370549 371524 372060
85 350535 351046 352189 353446 354687 355748 356347
86 314602 315162 316316 317643 318944 320049 320674
87 279055 279627 280829 282197 283548 284684 285347
88 243236 243854 245057 246457 247838 248997 249677
89 215243 215898 217119 218576 219995 221208 221926
90 193536 194235 195535 197048 198538 199823 200533
91 150927 151587 152761 154128 155482 156651 157294
92 123482 124115 125250 126543 127833 128946 129577
93 99097 99747 100783 101969 103159 104213 104754
94 76191 76766 77694 78742 79809 80747 81223
95 57523 58050 58856 59768 60697 61523 61949
96 42280 42732 43418 44183 44962 45669 46044
97 30708 31078 31652 32290 32945 33526 33846
98 20956 21238 21684 22182 22697 23147 23408
99 14147 14361 14702 15081 15475 15821 16018
100 8969 9120 9359 9627 9905 10152 10299
101 3722 3789 3901 4025 4153 4267 4337
102 1708 1741 1797 1859 1924 1981 2017
103 1055 1078 1117 1159 1204 1244 1269
104 678 694 721 751 783 811 829
105 446 458 478 500 523 544 556
106 238 245 257 270 284 296 304
107 93 96 100 106 112 117 120
108 44 46 49 51 55 57 59
109 17 18 19 20 21 23 23
110 12 12 13 14 15 16 17
