# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2047 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 353484 372392 403220 442490 480154 516648 537246
1 360000 378129 409043 447891 484991 520899 541201
2 366215 383972 414809 453404 489670 525076 544769
3 371384 389238 419465 457981 493639 528536 547654
4 376039 394077 424089 462134 497385 531623 550324
5 380738 398996 428620 466137 500750 534556 552797
6 384876 403413 432551 469034 503171 536754 554465
7 388375 407301 435938 471756 505366 538221 555471
8 392036 410928 439118 474190 507062 539153 556547
9 395881 413905 441180 475882 508210 539372 556669
10 398797 416646 443741 477399 509360 539862 556527
11 401721 419053 445437 478610 509770 539244 555409
12 405261 421640 447271 479626 510034 538676 554816
13 408148 423895 449016 480197 509797 537542 553639
14 411394 426661 450798 481110 509638 536743 552221
15 413945 428583 452710 481857 509422 535320 550852
16 417773 431642 455207 483274 509860 534698 549330
17 421747 434470 457416 484346 509884 533935 547293
18 425977 438388 460314 486476 511124 533921 546606
19 430960 442617 463937 488848 512664 534638 547457
20 436989 448195 468583 493027 515901 536991 549048
21 441898 452576 472573 495893 518346 539073 549501
22 446863 457940 477264 499833 521708 541960 552807
23 452192 463349 481939 504416 526224 545206 556477
24 457761 468663 487542 509420 530853 550381 561446
25 462808 473165 492236 514444 536005 555201 567080
26 467223 477854 496579 519212 541071 560141 572045
27 470998 482177 501179 524135 546804 566977 577627
28 471591 483774 503044 527299 550653 571463 582860
29 493867 506076 526937 550890 574684 596337 609462
30 512518 525399 547449 572606 597605 620482 634139
31 526969 540641 563454 589943 615947 639951 654203
32 544046 558110 581842 609526 636531 661548 676207
33 553817 568534 593312 621653 649582 675529 690562
34 577130 592151 617762 646850 675497 702086 717743
35 588150 603703 629822 659716 688989 716356 732370
36 603831 619221 646565 676815 706746 734529 750866
37 613540 628988 656809 687566 718146 746030 762734
38 620679 636280 664398 695493 726366 754759 771493
39 619050 635092 663417 694778 725814 754280 771378
40 620319 636667 665250 696518 727667 756407 773356
41 617143 633486 661882 693216 724446 753056 770053
42 623879 639785 668227 699364 730414 759091 776015
43 620228 635955 664069 695086 725886 754416 771227
44 617202 632519 660230 691135 721698 749949 766420
45 623315 638611 666156 696540 726571 754486 770476
46 634772 649392 676471 706405 735748 763427 779093
47 631055 645123 671583 700914 729760 756759 772194
48 638603 652277 678148 706738 734982 761101 776507
49 636155 649575 674603 702295 729588 755198 770134
50 635957 648572 672829 699662 725912 750931 765323
51 631338 643365 666821 692728 717874 742400 755838
52 634897 646212 668780 693599 717729 741422 753986
53 643144 654004 675514 699148 722259 744878 756824
54 664328 674810 695194 717736 739697 761132 772631
55 658352 668370 687614 709035 730029 750232 761179
56 667460 676769 695078 715311 735166 754310 764699
57 662172 670920 688210 707367 726078 744281 753755
58 673181 681579 697855 716018 733761 750721 759707
59 656419 664454 679861 696917 713647 729486 738140
60 656374 663881 678513 694624 710235 725220 733531
61 672606 679656 693403 708642 723329 737355 745093
62 679899 686540 699407 713783 727627 740546 747954
63 687390 693411 705769 719242 732260 744252 751299
64 705634 711446 723088 735846 748124 759395 765955
65 706149 712182 722987 734968 746475 757040 763472
66 719055 724627 734837 746063 756870 766957 772966
67 735315 741151 750614 761300 771600 780888 786788
68 767782 773549 782323 792623 802313 811217 816933
69 785762 791183 799530 809589 818687 827365 832750
70 812625 817587 825354 835195 843989 852477 857284
71 841183 846437 853915 863529 872094 880197 885074
72 864803 870096 877586 887172 895262 903886 908502
73 848723 854020 861445 870869 878876 886986 891779
74 844995 850363 857817 867308 875220 883379 888384
75 839332 844764 852566 862098 870135 878439 883120
76 817375 822718 830646 840445 848593 857147 861601
77 822458 827924 836483 846894 855493 864699 869135
78 797856 802931 812173 823115 832240 841431 846004
79 778916 783963 794092 805631 815366 825055 829795
80 760203 765704 776483 789233 799862 809984 815319
81 730363 736560 748075 761656 773177 783808 789739
82 707695 714382 726936 741838 754419 766065 772838
83 631533 638058 650973 666338 679320 691002 698247
84 574939 581742 595259 611272 624984 637532 644949
85 525200 532491 546739 563742 578613 591897 599832
86 469351 477106 491487 509243 524974 538615 547143
87 416830 424834 439678 458108 474679 489039 497765
88 356815 365104 379968 398482 415434 429890 439315
89 310685 319377 334779 353600 371562 386535 396469
90 262837 271710 287150 305771 324285 339820 349957
91 217745 226407 241837 260133 278702 294770 304414
92 177203 186070 201018 218576 237108 253042 262643
93 136836 144932 158722 174716 192047 207131 216306
94 106165 113544 126487 141312 157739 172242 181379
95 80898 87463 99216 112776 128368 142313 150662
96 62181 68045 78805 91317 106140 120055 127880
97 44755 49772 58947 69851 83310 95985 103388
98 32360 36572 44448 54025 66152 77961 85361
99 21026 24361 30341 37923 47924 57603 64446
100 13544 15986 20481 26445 34571 42621 48461
101 6365 7672 10184 13558 18436 23441 27137
102 3831 4716 6507 8981 12767 16657 19884
103 2153 2693 3867 5545 8216 11164 13504
104 1120 1436 2153 3215 5005 7033 8745
105 551 726 1143 1788 2937 4308 5477
106 278 376 623 1022 1772 2739 3550
107 117 163 284 493 911 1476 1957
108 45 65 119 221 435 743 1017
109 15 23 45 88 187 335 474
110 7 11 24 52 123 244 361
