# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2027 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 409713 420180 435984 455613 473907 490342 500163
1 411607 420998 435704 454149 471294 486610 495602
2 414013 422576 436171 453098 468816 483040 491439
3 416531 424216 436739 452220 466671 479540 487202
4 419318 426358 437517 451530 464635 476347 483194
5 422112 428264 438449 450853 462334 472878 479047
6 425150 430660 439507 450082 460402 469508 474896
7 428456 432911 440561 449741 458455 466182 470943
8 430393 433907 440478 447985 454914 461418 465252
9 460954 462210 464559 467137 469673 472093 473383
10 478801 480006 482347 484845 487318 489663 490957
11 492672 493869 496142 498608 501022 503331 504577
12 509307 510434 512678 515091 517475 519742 520987
13 518871 519977 522188 524548 526906 529142 530326
14 542002 543135 545318 547634 549950 552135 553346
15 553224 554369 556519 558828 561130 563307 564497
16 569186 570360 572493 574840 577140 579324 580542
17 579342 580563 582692 585132 587497 589713 590911
18 587313 588628 590859 593419 595926 598223 599504
19 587445 588875 591261 594034 596787 599252 600570
20 590878 592516 595136 598231 601295 604128 605544
21 590108 591956 594918 598428 601860 605179 606769
22 599638 601675 605032 609080 612980 616774 618648
23 599137 601475 605314 609944 614394 618730 620896
24 599326 601982 606356 611600 616662 621583 624009
25 609063 612128 617075 622918 628624 634157 636816
26 623405 626844 632323 638771 645152 651084 654039
27 622331 626037 632061 639028 646027 652329 655511
28 632788 636637 643069 650523 657959 664511 668143
29 632706 636731 643549 651367 659016 666023 669933
30 634598 638629 645722 653771 661612 668849 672863
31 632072 636242 643348 651538 659537 666865 670976
32 637489 641544 648821 656937 664842 672327 676517
33 647682 651593 658943 666846 674680 682133 686228
34 671091 674882 682196 689821 697534 704781 708785
35 666813 670377 677462 684871 692320 699289 703190
36 677715 681138 687916 695032 702199 708964 712628
37 674125 677345 683763 690575 697392 703812 707261
38 687470 690467 696557 703033 709453 715536 718893
39 672249 675189 680876 687025 693089 698827 701975
40 674322 677123 682453 688249 693938 699298 702242
41 693278 695902 700957 706367 711707 716710 719495
42 703179 705680 710458 715508 720489 725242 727809
43 713591 715965 720424 725160 729853 734300 736667
44 735776 738044 742200 746640 751030 755193 757417
45 739938 742080 745974 750149 754271 758145 760275
46 757027 758997 762675 766598 770476 774098 776102
47 778821 780687 784113 787812 791470 794864 796724
48 818264 820017 823221 826715 830166 833286 835072
49 843208 844825 847854 851113 854343 857319 858956
50 878287 879859 882657 885754 888770 891609 893125
51 917304 918775 921414 924345 927205 929901 931282
52 952543 953917 956435 959201 961896 964431 965753
53 945081 946365 948730 951344 953900 956273 957570
54 952669 953927 956157 958619 961032 963292 964485
55 959557 960792 962858 965197 967476 969648 970770
56 949333 950485 952482 954672 956858 958874 959966
57 973086 974170 976069 978181 980245 982157 983201
58 963942 965001 966766 968782 970750 972575 973579
59 964580 965637 967268 969230 971108 972827 973799
60 969690 970746 972267 974175 975957 977642 978542
61 964242 965253 966727 968552 970277 971889 972751
62 972772 973773 975185 976963 978616 980211 981030
63 909362 910365 911725 913430 915006 916515 917347
64 874848 875841 877158 878813 880340 881815 882673
65 852630 853621 854920 856531 858024 859456 860316
66 821656 822577 823910 825488 826951 828373 829216
67 796824 797770 799094 800672 802133 803542 804422
68 756120 757044 758344 759920 761375 762739 763596
69 742839 743711 745072 746676 748150 749547 750374
70 721220 722061 723498 725129 726639 728054 728852
71 700630 701443 702949 704639 706153 707680 708432
72 682402 683211 684753 686539 688131 689721 690481
73 642987 643811 645409 647245 648877 650481 651265
74 624303 625157 626881 628788 630530 632210 633007
75 612476 613443 615243 617309 619194 620977 621820
76 623592 624591 626611 628950 631095 633056 633993
77 614037 615094 617294 619891 622248 624352 625471
78 625351 626554 629060 631999 634681 637087 638335
79 594618 595920 598626 601800 604701 607283 608645
80 575650 577032 580026 583500 586695 589529 591037
81 427784 428970 431507 434483 437216 439655 440939
82 421848 423172 425999 429369 432487 435182 436658
83 404586 405968 409113 412841 416300 419260 420955
84 379464 380992 384391 388441 392169 395427 397211
85 357116 358806 362554 366938 371011 374579 376557
86 363304 365216 369742 374892 379720 383962 386285
87 326575 328763 333468 338842 343976 348388 350892
88 285530 287843 292590 298106 303439 307961 310437
89 234273 236480 241047 246347 251512 255856 258314
90 191439 193732 198080 203149 208101 212433 214792
91 166980 169361 173826 178989 184118 188547 191006
92 135618 137911 142126 147052 151953 156147 158477
93 107885 110054 113934 118449 122987 126997 129163
94 83573 85652 89103 93184 97374 101043 103033
95 64863 66752 69921 73592 77443 80807 82606
96 50584 52338 55213 58564 62109 65283 67016
97 33903 35219 37465 40071 42873 45407 46813
98 23477 24591 26421 28508 30795 32879 34055
99 15743 16603 18022 19638 21430 23080 24057
100 9953 10572 11583 12771 14103 15321 16086
101 6055 6476 7174 8003 8944 9806 10379
102 3498 3771 4225 4774 5403 5987 6374
103 1949 2118 2406 2752 3154 3539 3788
104 992 1086 1253 1454 1690 1922 2073
105 488 539 629 742 877 1011 1098
106 219 245 289 347 417 488 533
107 63 71 85 104 127 151 167
108 20 22 27 34 42 51 56
109 8 9 11 14 18 22 25
110 5 6 8 10 13 17 19
