# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2025 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 411857 420389 433990 450666 466200 480473 488411
1 414407 422264 434382 449728 463868 476980 483973
2 416968 424042 435195 448979 461780 473627 479784
3 419869 425716 435910 448237 459613 470072 475764
4 422734 427960 436864 447396 457680 466627 471675
5 425837 430565 437952 446979 455560 463268 467535
6 427994 431597 437630 445139 451955 458265 461886
7 459704 460646 462346 464200 466046 467766 468688
8 477426 478326 479986 481806 483625 485302 486196
9 491165 492049 493682 495451 497193 498857 499752
10 507609 508457 510053 511794 513491 515099 516000
11 516987 517803 519371 521078 522750 524332 525210
12 539943 540727 542291 543942 545597 547150 547994
13 550900 551687 553226 554836 556464 557984 558826
14 566530 567306 568826 570420 572021 573535 574358
15 576155 576970 578448 580069 581666 583183 584001
16 583417 584249 585708 587378 588998 590501 591352
17 582522 583376 584875 586615 588300 589873 590695
18 584738 585684 587293 589122 590949 592563 593471
19 582720 583779 585506 587536 589561 591383 592309
20 591124 592315 594263 596568 598826 600966 602018
21 589916 591274 593489 596150 598725 601199 602428
22 589766 591327 593903 596986 599981 602822 604285
23 599679 601473 604444 607990 611433 614708 616389
24 614516 616572 619934 623963 627869 631618 633475
25 614022 616345 620149 624641 629052 633236 635277
26 625095 627663 631859 636779 641666 646122 648394
27 625811 628612 633108 638397 643654 648304 650822
28 628404 631275 636132 641664 647174 652085 654794
29 626709 629548 634547 640334 645960 651162 653917
30 632726 635660 640787 646657 652358 657654 660552
31 643548 646472 651658 657484 663156 668583 671520
32 667651 670420 675707 681362 687022 692304 695210
33 663859 666521 671767 677244 682754 687945 690766
34 675233 677817 682909 688193 693563 698529 701271
35 672105 674497 679373 684441 689590 694364 696965
36 685819 688088 692705 697553 702435 706995 709467
37 670986 673150 677479 682104 686678 690989 693365
38 673285 675462 679464 683849 688151 692234 694455
39 692535 694558 698340 702463 706494 710289 712434
40 702765 704617 708211 712050 715819 719372 721355
41 713382 715150 718534 722106 725653 728973 730799
42 735788 737463 740656 743988 747316 750431 752115
43 740177 741758 744730 747866 750992 753902 755485
44 757499 758961 761732 764698 767624 770365 771847
45 779534 780909 783518 786291 789046 791619 793002
46 819259 820563 822998 825615 828206 830606 831906
47 844441 845683 847955 850415 852862 855081 856324
48 879900 881062 883193 885514 887794 889920 891046
49 919309 920454 922420 924619 926761 928772 929839
50 955035 956083 957962 960034 962054 963960 964953
51 947931 948900 950678 952637 954549 956340 957276
52 956031 956954 958620 960471 962280 963966 964861
53 963435 964327 965900 967642 969363 970958 971797
54 953681 954537 956018 957667 959285 960820 961607
55 978161 978966 980395 981941 983482 984929 985684
56 969533 970318 971667 973151 974628 975985 976717
57 970887 971617 972884 974315 975709 977024 977727
58 976804 977528 978700 980081 981417 982640 983329
59 972124 972846 973933 975276 976551 977734 978376
60 981654 982365 983402 984698 985930 987070 987671
61 918618 919309 920288 921517 922686 923774 924350
62 884693 885380 886320 887508 888633 889686 890237
63 863216 863904 864821 865978 867056 868091 868672
64 832955 833638 834544 835658 836713 837708 838285
65 809078 809713 810612 811715 812750 813726 814322
66 768989 769609 770545 771616 772619 773606 774198
67 756879 757528 758450 759538 760566 761522 762133
68 736405 737040 737977 739081 740120 741083 741653
69 717167 717737 718728 719849 720909 721898 722449
70 700367 700951 701979 703136 704201 705237 705772
71 661949 662516 663558 664746 665826 666894 667393
72 644915 645472 646575 647825 648971 650065 650624
73 635231 635841 637022 638344 639572 640742 641309
74 649694 650383 651676 653156 654527 655811 656434
75 643229 643945 645362 646984 648500 649885 650527
76 659302 660047 661660 663519 665224 666783 667592
77 631773 632553 634272 636269 638103 639771 640631
78 616934 617825 619711 621903 623932 625741 626695
79 463410 464180 465795 467662 469410 470969 471773
80 462268 463123 464941 467057 469038 470796 471701
81 449453 450393 452400 454757 456973 458894 459932
82 428278 429275 431471 434063 436501 438589 439786
83 410380 411448 413891 416769 419436 421786 423064
84 426236 427556 430520 433955 437164 439972 441551
85 392605 393984 397175 400827 404229 407246 408944
86 352739 354182 357559 361339 364956 368103 369871
87 298427 299989 303259 306984 310598 313684 315429
88 252494 253997 257202 260945 264549 267627 269337
89 228624 230304 233645 237601 241442 244729 246553
90 193140 194921 198220 202108 205908 209226 211050
91 160199 161906 165146 168929 172673 175812 177678
92 130021 131713 134756 138296 141809 144894 146529
93 106435 108063 110976 114333 117679 120636 122266
94 87930 89572 92406 95609 98910 101776 103280
95 62525 63950 66201 68860 71589 73993 75239
96 46217 47409 49392 51671 54049 56169 57321
97 33206 34234 35904 37787 39778 41583 42568
98 22692 23518 24833 26317 27906 29344 30160
99 15095 15715 16711 17855 19081 20199 20850
100 9655 10105 10824 11660 12571 13387 13897
101 5997 6309 6815 7399 8042 8630 9004
102 3422 3619 3948 4326 4745 5129 5381
103 1903 2023 2224 2462 2725 2973 3133
104 974 1042 1157 1293 1447 1594 1686
105 321 346 388 439 497 552 588
106 116 125 142 162 186 208 223
107 55 60 69 80 93 105 113
108 27 29 34 40 47 54 59
109 13 15 17 20 24 28 31
110 7 8 10 12 15 17 19
