# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2036 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 394914 409371 434964 464927 493452 519560 535999
1 397534 411625 436317 465489 493157 518458 534466
2 399618 413418 437441 465542 492443 516933 532310
3 401955 415353 438773 465849 491612 515746 530677
4 404372 417078 439635 465860 490377 513836 528129
5 407363 419336 441113 466343 489892 512346 526086
6 409579 421157 442134 466158 488590 509781 523012
7 412344 423541 443519 466528 487774 508189 520642
8 415039 425726 444912 466453 486758 506047 517882
9 418805 428736 447057 467397 486351 504648 515492
10 421032 430287 447310 466264 484052 501285 511148
11 423475 432186 448025 465577 482317 498211 507255
12 426124 434408 448936 465108 480621 495110 503618
13 429496 436741 450073 464892 479122 492509 499992
14 432675 439135 451319 464778 477820 489766 496344
15 435972 441728 452776 464703 476590 487349 493576
16 439623 444790 454353 465266 475788 485152 491149
17 441824 446687 455026 464752 474076 482267 487088
18 469463 472806 478916 485653 492349 498500 501897
19 488953 492683 498823 505818 512610 519095 522746
20 505037 508881 515442 522851 530011 536753 540623
21 524222 528379 535423 543381 551130 558396 562459
22 536682 541232 548783 557532 565967 574081 578285
23 562776 567665 576010 585692 594999 603829 608553
24 576836 582204 591384 602102 612369 622183 627285
25 595355 601226 611363 623124 634434 645250 650876
26 607467 613939 625026 637934 650363 662202 668318
27 616806 623842 635880 649917 663466 676213 682900
28 617433 624992 638088 653137 667643 681453 688738
29 620611 628792 642616 658647 674064 688718 696694
30 618515 627184 641917 658873 675140 690577 699167
31 625933 635028 650738 668346 685319 701477 710668
32 623062 632669 648789 667078 684636 701382 710972
33 620659 630403 647096 665878 684041 701077 711083
34 627631 637809 654619 673842 692376 709832 719982
35 639506 649738 666780 686066 704829 722500 732807
36 636009 646160 663408 682644 701530 719011 729648
37 644246 654114 671315 690434 709369 726730 737061
38 642140 651627 668881 687734 706471 723829 733817
39 642053 651347 668107 686754 705160 722274 732020
40 638076 646870 663292 681365 699083 715881 725375
41 642025 650421 666354 683811 700842 717141 726324
42 650968 658846 674210 690984 707340 723077 731864
43 673237 680549 695326 711398 726966 742065 750551
44 667912 674790 688913 704242 719096 733504 741392
45 677695 684362 697863 712311 726414 740065 747349
46 673305 679617 692317 706020 719365 732266 739100
47 685850 691737 703734 716675 729286 741390 747912
48 670072 675737 687001 699179 711005 722474 728552
49 671468 676839 687446 698892 710111 720785 726546
50 689670 694736 704699 715417 725995 736041 741522
51 698868 703659 712958 723048 732992 742454 747591
52 708473 712932 721655 731165 740493 749338 754185
53 729565 733749 742011 750937 759754 768035 772643
54 732765 736709 744434 752878 761136 768918 773273
55 748488 752325 759502 767495 775200 782559 786694
56 768672 772360 779135 786694 793969 800952 804746
57 806173 809525 816005 823131 830034 836474 840183
58 829070 832243 838435 845106 851588 857688 861125
59 861632 864747 870593 876887 883077 888724 891921
60 897821 900802 906308 912284 918112 923436 926562
61 929898 932847 937969 943700 949225 954238 957302
62 919975 922978 927713 933206 938408 943153 946153
63 924584 927562 931904 937236 942202 946750 949519
64 928306 931052 935252 940393 945053 949548 952125
65 915131 917838 921765 926747 931281 935614 938041
66 934270 936920 940774 945631 949967 954266 956611
67 921274 924036 927732 932512 936720 940885 943331
68 917326 920107 923748 928480 932540 936659 939109
69 917037 919874 923631 928286 932382 936480 938971
70 906327 909001 912885 917610 921733 925883 928402
71 907871 910678 914750 919587 923873 928035 930359
72 842372 844992 849044 853891 858054 862262 864463
73 803534 805828 810180 815003 819236 823514 825719
74 775488 777772 782240 787274 791572 796115 798267
75 738915 741152 745850 751078 755550 760151 762273
76 707474 709716 714645 720132 724797 729470 731692
77 661532 663939 668865 674543 679385 684280 686412
78 638675 641263 646439 652532 657829 662892 665138
79 607648 610493 615912 622430 628018 633420 635886
80 576162 579217 584997 591978 598002 603692 606466
81 545699 548862 555025 562563 569067 575260 578104
82 497589 500688 507211 515112 521932 528295 531479
83 464936 468222 475263 483716 491212 497797 501330
84 435927 439533 447072 456193 464366 471502 475430
85 421063 424996 433569 443696 452944 460876 465448
86 389840 394342 403468 414296 424340 432889 437930
87 369936 374967 385040 396977 408201 417779 423271
88 323895 329240 339510 351739 363472 373335 378930
89 285847 291247 302007 314603 326944 337383 343160
90 190195 194850 203127 213032 222887 231399 235799
91 166826 171501 180157 190345 200849 209592 214227
92 139890 144535 153156 163293 173771 182587 187471
93 113248 117698 125833 135569 145771 154389 159016
94 90499 94743 102389 111612 121496 129918 134347
95 76757 80935 88607 97815 107873 116651 121697
96 56451 60124 66863 74778 83780 91770 96367
97 39700 42770 48371 55019 62765 69715 73933
98 25783 28123 32419 37510 43683 49267 52698
99 16402 18113 21338 25150 29982 34410 37150
100 10905 12190 14675 17662 21548 25203 27601
101 6574 7451 9170 11299 14150 16878 18758
102 3764 4328 5473 6896 8884 10840 12196
103 2038 2385 3094 4016 5346 6664 7653
104 1068 1274 1704 2273 3124 4005 4675
105 544 662 915 1263 1795 2380 2824
106 229 286 408 584 863 1183 1425
107 96 123 182 271 418 591 729
108 38 49 76 118 190 278 348
109 13 18 29 47 79 120 153
110 6 9 15 26 47 75 100
