# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2026 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 410579 420066 434697 452945 469933 485266 494242
1 412878 421560 435022 451864 467608 481687 489950
2 415440 423183 435507 450957 465341 478273 485745
3 418303 425033 436295 450237 463270 474875 481586
4 420918 426954 437074 449527 461045 471408 477428
5 423938 429298 438170 448719 458881 468124 473348
6 427209 431797 439282 448339 456952 464726 469229
7 429267 432744 438929 446539 453460 459765 463596
8 460320 461399 463416 465644 467837 469894 471004
9 478103 479159 481139 483298 485424 487450 488534
10 491915 492946 494884 496997 499073 501025 502114
11 508428 509428 511336 513405 515431 517366 518425
12 517912 518851 520746 522766 524763 526660 527705
13 540956 541890 543753 545726 547713 549572 550574
14 552018 552958 554814 556747 558704 560528 561527
15 567782 568755 570552 572506 574437 576270 577275
16 577635 578634 580406 582409 584350 586202 587217
17 585193 586218 588034 590110 592128 594006 595001
18 584718 585843 587747 589937 592101 594040 595126
19 587548 588804 590847 593235 595610 597748 598859
20 586169 587580 589866 592552 595205 597684 598932
21 595224 596808 599388 602463 605466 608339 609771
22 594472 596268 599233 602791 606229 609551 611214
23 594615 596669 600084 604162 608108 611915 613833
24 604589 606962 610805 615445 619939 624278 626410
25 619220 621896 626275 631450 636524 641388 643743
26 618439 621445 626276 631979 637656 642841 645445
27 629191 632428 637691 643837 649959 655438 658277
28 629518 632912 638589 645095 651569 657298 660508
29 631788 635221 641136 647944 654597 660715 663999
30 629670 633099 639181 646168 652966 659223 662623
31 635396 638864 645047 652029 658831 665204 668742
32 645834 649279 655535 662391 669127 675608 679054
33 669593 672878 679154 685807 692452 698769 702189
34 665525 668638 674829 681259 687785 693843 697163
35 676651 679692 685618 691797 698056 703914 707135
36 673287 676066 681715 687673 693655 699275 702319
37 686778 689435 694785 700441 706079 711390 714319
38 671759 674290 679310 684696 690035 695024 697815
39 673884 676422 681078 686167 691178 695897 698452
40 693003 695327 699740 704521 709200 713602 716061
41 703061 705236 709419 713876 718243 722405 724695
42 713574 715630 719563 723716 727836 731718 733830
43 735855 737838 741511 745399 749258 752910 754846
44 740155 742009 745427 749088 752708 756116 757961
45 757335 759061 762292 765724 769124 772311 774045
46 779246 780859 783870 787123 790314 793303 794933
47 818834 820370 823190 826237 829256 832011 833569
48 843878 845328 847971 850838 853685 856255 857697
49 879182 880547 883005 885713 888352 890837 892166
50 918393 919703 922005 924570 927073 929417 930644
51 953890 955090 957288 959716 962076 964283 965436
52 946606 947737 949808 952097 954321 956418 957511
53 954474 955552 957500 959659 961773 963737 964779
54 961625 962674 964502 966540 968545 970416 971396
55 951640 952646 954374 956296 958180 959987 960911
56 975737 976708 978381 980193 982020 983674 984580
57 966879 967788 969341 971101 972819 974411 975268
58 967903 968780 970235 971919 973554 975072 975925
59 973416 974281 975644 977290 978855 980298 981085
60 968357 969245 970501 972090 973585 974982 975722
61 977420 978283 979498 981019 982459 983811 984530
62 914203 915040 916194 917656 919036 920342 921004
63 879959 880800 881933 883342 884660 885914 886610
64 858140 858963 860081 861452 862735 863970 864669
65 827562 828363 829446 830793 832057 833236 833956
66 803207 803983 805105 806429 807655 808865 809583
67 762817 763601 764703 766011 767229 768411 769133
68 750147 750918 752038 753370 754616 755787 756482
69 729162 729875 731036 732392 733650 734840 735518
70 709234 709917 711177 712556 713837 715054 715710
71 691757 692449 693720 695172 696474 697789 698407
72 652883 653556 654855 656343 657683 659005 659639
73 635040 635743 637123 638688 640106 641502 642168
74 624362 625112 626590 628257 629782 631250 631944
75 637201 638043 639693 641563 643281 644904 645655
76 629307 630181 631958 634032 635923 637647 638532
77 643157 644095 646109 648476 650639 652578 653614
78 614093 615119 617283 619825 622154 624239 625352
79 597239 598381 600772 603574 606145 608430 609648
80 446426 447401 449409 451811 454023 455996 457011
81 442957 444019 446314 449011 451505 453708 454888
82 427915 429073 431603 434620 437428 439833 441173
83 404778 406007 408785 412066 415110 417745 419236
84 384619 385996 389038 392645 395979 398930 400516
85 395653 397254 400956 405232 409202 412692 414665
86 360375 362041 366023 370522 374769 378462 380508
87 319592 321540 325624 330224 334681 338467 340685
88 266577 268443 272338 276896 281269 284990 287076
89 221884 223759 227540 231983 236289 239962 242012
90 197299 199393 203283 207900 212367 216318 218456
91 163530 165568 169364 173865 178311 182040 184186
92 132913 134874 138519 142739 146960 150541 152540
93 105613 107457 110823 114688 118574 121996 123848
94 84292 86123 89202 92797 96483 99693 101420
95 67749 69509 72382 75759 79231 82312 83903
96 46778 48159 50506 53184 56021 58556 59904
97 33507 34700 36652 38896 41284 43443 44627
98 23307 24301 25873 27668 29606 31377 32362
99 15362 16099 17284 18659 20145 21516 22327
100 9802 10334 11193 12204 13318 14329 14961
101 5978 6340 6935 7633 8412 9126 9589
102 3519 3760 4152 4620 5146 5630 5948
103 1900 2043 2286 2572 2896 3205 3406
104 996 1077 1219 1389 1584 1773 1894
105 479 522 597 689 798 902 969
106 147 162 188 220 259 296 320
107 49 55 64 76 91 105 115
108 22 24 29 35 43 50 55
109 10 11 13 16 20 24 27
110 7 8 9 12 15 18 20
