# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2022 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 416645 422350 432621 444609 455587 466146 471873
1 419539 424560 433382 443670 453429 462711 467550
2 422791 426911 434354 443154 451335 459227 463207
3 424529 427821 433910 441207 447733 454123 457415
4 457953 458413 459255 460157 461065 461895 462352
5 475486 475936 476765 477641 478530 479342 479789
6 489038 489482 490287 491148 492015 492816 493240
7 505291 505708 506499 507341 508185 508972 509394
8 514446 514855 515624 516451 517268 518043 518459
9 537170 537560 538305 539116 539910 540666 541085
10 547859 548242 548978 549766 550550 551282 551700
11 563181 563552 564280 565044 565816 566540 566939
12 572450 572824 573541 574287 575053 575755 576146
13 579210 579580 580290 581030 581783 582483 582865
14 577621 577991 578684 579432 580177 580874 581263
15 578855 579240 579919 580687 581441 582144 582532
16 575435 575827 576521 577309 578094 578808 579192
17 582051 582475 583209 584044 584880 585629 586023
18 578850 579325 580107 581031 581951 582779 583202
19 576852 577382 578270 579323 580365 581338 581814
20 585298 585899 586937 588168 589381 590515 591082
21 599203 599926 601147 602597 604028 605377 606047
22 598465 599312 600739 602432 604106 605683 606465
23 609891 610845 612489 614435 616354 618130 619045
24 611339 612446 614283 616461 618607 620636 621624
25 614876 616121 618152 620536 622914 625073 626170
26 614176 615504 617732 620275 622842 625117 626329
27 621477 622802 625164 627846 630510 632915 634223
28 633451 634826 637253 640025 642775 645267 646639
29 658604 660030 662515 665316 668072 670630 672067
30 655921 657287 659840 662578 665304 667891 669311
31 668355 669677 672234 674897 677587 680112 681496
32 666102 667384 669862 672435 675092 677501 678845
33 680716 681932 684320 686787 689336 691651 692945
34 666654 667801 670075 672439 674848 677076 678303
35 669719 670816 672950 675207 677467 679607 680756
36 689575 690643 692635 694773 696893 698899 700005
37 700315 701320 703200 705211 707199 709072 710123
38 711456 712393 714164 716043 717910 719662 720644
39 734359 735244 736915 738662 740420 742059 742948
40 739136 739970 741540 743174 744830 746347 747192
41 756856 757629 759107 760638 762177 763613 764392
42 779307 780029 781404 782848 784289 785640 786364
43 819526 820195 821489 822841 824193 825468 826147
44 845152 845778 846981 848260 849535 850718 851362
45 881095 881684 882819 884018 885216 886326 886910
46 921058 921633 922688 923814 924929 925989 926534
47 957351 957905 958886 959952 961010 961996 962507
48 950680 951209 952137 953139 954132 955065 955536
49 959365 959855 960734 961682 962621 963503 963947
50 967439 967898 968723 969618 970502 971330 971763
51 958324 958748 959527 960376 961217 962004 962405
52 983732 984135 984871 985668 986469 987212 987592
53 975887 976287 976976 977730 978487 979200 979551
54 978120 978492 979160 979874 980591 981270 981616
55 985045 985400 986029 986720 987407 988048 988390
56 981380 981706 982302 982961 983614 984227 984559
57 992149 992495 993030 993675 994300 994883 995201
58 929546 929879 930388 931002 931605 932154 932447
59 896481 896810 897281 897873 898448 898970 899241
60 876070 876385 876843 877402 877948 878455 878720
61 846726 847036 847477 848016 848544 849030 849282
62 823864 824168 824607 825127 825632 826100 826366
63 784587 784884 785306 785814 786301 786761 787021
64 773987 774287 774705 775207 775691 776140 776417
65 754913 755208 755640 756136 756616 757073 757349
66 737236 737540 737972 738471 738956 739407 739695
67 722250 722531 722970 723481 723973 724435 724692
68 685001 685277 685728 686238 686731 687183 687445
69 669988 670251 670724 671250 671750 672226 672475
70 662912 663174 663671 664226 664747 665261 665497
71 681425 681706 682243 682862 683439 683998 684269
72 678495 678796 679390 680055 680688 681275 681564
73 699978 700311 700977 701726 702431 703098 703415
74 675932 676285 676993 677794 678560 679244 679590
75 666025 666378 667160 668038 668867 669619 670014
76 505815 506124 506788 507545 508260 508904 509227
77 510628 510964 511712 512560 513369 514090 514462
78 503721 504096 504922 505867 506773 507575 507981
79 488105 488508 489425 490461 491453 492334 492797
80 476754 477206 478222 479381 480494 481452 481981
81 506396 506941 508174 509596 510955 512125 512796
82 478484 479070 480397 481957 483442 484713 485433
83 442423 443070 444509 446156 447738 449104 449883
84 387089 387760 389211 390883 392484 393874 394648
85 340110 340776 342303 343991 345642 347049 347841
86 321489 322269 323895 325756 327567 329112 329991
87 285001 285804 287465 289391 291277 292889 293787
88 249217 250080 251752 253729 255656 257303 258226
89 213864 214766 216433 218424 220355 222020 222979
90 186010 186911 188633 190645 192623 194299 195283
91 164173 165146 166911 168964 170987 172743 173686
92 125530 126425 127983 129808 131609 133169 134051
93 100559 101438 102903 104570 106248 107721 108501
94 78824 79664 80965 82472 84003 85344 86023
95 59000 59714 60872 62170 63495 64684 65279
96 43276 43915 44888 45986 47108 48127 48657
97 30891 31413 32217 33115 34041 34873 35328
98 21745 22157 22804 23528 24282 24949 25324
99 14314 14612 15094 15639 16207 16708 17000
100 9278 9497 9848 10243 10655 11025 11246
101 5611 5758 5990 6257 6535 6785 6940
102 2210 2271 2375 2492 2614 2724 2793
103 960 989 1038 1094 1153 1206 1240
104 559 578 610 647 685 720 742
105 338 350 371 395 421 444 459
106 208 216 231 247 265 281 291
107 103 108 116 125 135 144 150
108 37 39 42 46 50 53 56
109 17 17 19 21 23 24 26
110 9 10 11 12 13 15 15
