84 59710 67114 70082 76862 76986 84620 85038 83351 81048 64170 
85 50491 52054 58386 61187 67573 67962 74669 75090 73502 71635 
86 40845 43474 44684 50306 53017 58729 59311 65026 65440 63978 
87 31765 34556 36747 37879 42795 45270 50390 50731 55778 56626 
88 24417 26419 28903 30620 31650 35967 38119 42474 43062 47297 
89 20140 20090 21590 23883 25232 26092 29679 31479 35345 36180 
90 14703 16110 16079 17342 19453 20279 21127 23998 25615 29272 
91 11211 11637 12661 12544 13744 15691 16074 16650 19198 20510 
92 7835 8710 8971 9632 9718 10647 12182 12400 12931 15007 
93 5628 5876 6583 6797 7281 7380 7980 9222 9499 9794 
94 3962 4081 4316 4972 4998 5416 5431 5835 6771 7131 
95 2677 2827 2943 3084 3545 3680 3951 3844 4200 4925 
96 1621 1903 2024 2048 2155 2571 2689 2856 2726 3023 
97 1024 1139 1292 1382 1370 1472 1715 1919 1976 1877 
98 701 706 749 864 942 868 951 1120 1404 1366 
99 463 471 460 503 572 639 560 587 792 1103 
100 623 668 685 721 675 735 756 774 794 938 
