# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2039 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 388529 404569 432066 464850 496418 524966 543035
1 391942 407261 434008 466271 497079 525035 542381
2 395025 409835 435984 467487 497736 525168 542053
3 397258 412105 437595 468365 497404 524331 540434
4 400255 414412 439213 469005 497158 523467 539026
5 402591 416223 440424 469144 496642 521836 537041
6 405156 418141 441837 469547 495897 520389 535152
7 407002 420179 442980 469663 495080 518944 532802
8 409516 422572 444615 470262 494547 517696 531007
9 411969 424423 445671 470203 493215 515750 527977
10 415167 426762 447205 470713 492558 513932 525510
11 418276 429135 448635 470796 491669 511851 523170
12 421659 432296 450726 471925 491627 510570 521150
13 424084 433968 451308 471015 489594 507407 517603
14 426963 436107 452122 470609 488139 504507 513823
15 430263 438232 453453 470514 486939 502159 510474
16 433441 441093 454999 470819 486035 499923 507681
17 437200 444051 456752 471477 485181 497897 505778
18 441473 447785 459335 472568 485440 496941 504015
19 445944 452080 462582 474806 486758 497423 503628
20 449408 455235 464830 476454 487486 497167 503183
21 476558 481443 490032 499776 509230 517993 523052
22 497402 502586 511798 522318 532416 542086 547367
23 514319 519936 529899 541378 552499 562952 568467
24 533835 539920 550780 563361 575496 587021 592935
25 546077 552769 564572 578296 591524 604106 610617
26 571527 578764 591630 606577 620940 634671 641727
27 584720 592411 606316 622593 638099 653076 660615
28 602061 610381 625405 642844 659630 675593 683742
29 613074 621992 638094 656640 674487 691550 700282
30 621505 630955 647917 667459 686207 704127 713743
31 621164 631269 649018 669431 689040 707767 718001
32 623320 634067 652453 673657 693907 713291 724038
33 620522 631568 650940 672606 693572 713417 724554
34 627184 638695 658605 680822 702483 722670 733974
35 623698 635594 655665 678365 700482 720969 732713
36 620665 632707 653303 676053 698446 719060 731137
37 627522 639506 660044 682985 705387 726099 738503
38 638936 651056 671419 694269 716749 737410 749678
39 635081 647112 667242 690022 712397 732755 745068
40 643153 654436 674763 697056 719097 739452 751399
41 641194 651958 671752 693696 715197 735415 747073
42 641224 651376 670767 692115 713087 732860 744221
43 636968 646709 665625 686198 706218 725632 736614
44 640695 650200 668259 688142 707418 726205 736752
45 649595 658445 675668 694833 713335 731393 741505
46 671600 679909 696642 714745 732417 749508 759205
47 666085 673904 689984 707178 723973 740144 749323
48 675914 683254 698619 714816 730754 746126 754622
49 671382 678410 692785 708144 723157 737769 745679
50 683735 690411 703785 718360 732537 746290 753777
51 667895 674140 686750 700496 713910 726966 733907
52 669020 674921 686811 699754 712410 724633 731207
53 686831 692335 703526 715711 727696 739048 745180
54 695500 700700 711266 722764 733967 744733 750480
55 704666 709597 719364 730259 740787 750848 756426
56 725078 729795 739070 749301 759239 768610 773910
57 727645 732178 740914 750587 759885 768743 773673
58 742723 746982 755276 764422 773233 781533 786135
59 762288 766345 774223 782760 791068 798795 803259
60 798756 802614 810016 818110 825938 833177 837413
61 820626 824351 831404 839013 846425 853235 857281
62 852056 855745 862210 869492 876447 882866 886808
63 886663 890436 896465 903431 910007 916085 919834
64 917069 920976 926542 933297 939541 945313 948895
65 906243 909978 915134 921689 927590 933277 936623
66 909595 912911 917967 924280 930028 935421 938613
67 911575 914891 919755 925862 931364 936771 939720
68 896753 900107 904734 910744 915981 921200 924139
69 913400 916794 921353 927367 932411 937723 940733
70 898399 901924 906560 912406 917501 922587 925669
71 892029 895437 900183 906095 911196 916324 919427
72 888755 892217 897122 903238 908431 913668 916577
73 875145 878428 883664 889916 895208 900685 903425
74 873146 876139 881928 888504 894052 899818 902622
75 806330 809156 815031 821582 827081 832894 835705
76 764560 767395 773445 780270 785951 791856 794621
77 732837 735835 742197 749316 755374 761352 764213
78 692682 695778 702322 709824 716235 722495 725368
79 656823 660207 666967 674829 681584 688208 691280
80 606895 610561 617474 625778 632802 639548 642932
81 577927 581703 589139 598094 605741 612969 616626
82 541109 544932 552963 562544 570859 578615 582491
83 503354 507367 516006 526220 535184 543388 547538
84 466062 470630 479777 490666 500412 508953 513576
85 414420 419017 428291 439566 449760 458529 463475
86 375977 380914 390737 402544 413363 422528 427944
87 340242 345943 356331 368673 380312 389929 395886
88 315896 322176 333244 346714 359439 370153 376675
89 279675 285991 297746 311533 325029 336722 343200
90 252061 258965 271438 286046 300760 313381 320188
91 208454 215484 227587 241888 256576 269187 275854
92 173435 180094 192011 206078 220801 233283 240282
93 108143 112982 121880 132338 143552 153147 158071
94 88610 93148 101687 111889 122975 132426 137543
95 68744 72947 80707 90160 100750 109739 114810
96 51007 54713 61554 69828 79365 87859 92488
97 37099 40280 46179 53387 61977 69573 74212
98 28460 31319 36677 43290 51402 58785 63361
99 18862 21106 25259 30451 37101 43231 47175
100 11843 13469 16580 20424 25605 30463 33718
101 6789 7838 9890 12523 16129 19672 22206
102 3744 4404 5722 7449 9905 12390 14286
103 2134 2549 3416 4584 6322 8122 9530
104 1087 1323 1833 2546 3659 4850 5810
105 521 646 930 1338 2006 2751 3341
106 234 298 443 665 1040 1488 1839
107 100 130 203 317 521 776 973
108 41 55 90 147 255 396 506
109 14 19 33 56 103 165 218
110 6 9 17 32 64 111 152
