# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2042 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 378299 396341 424967 460619 494209 526245 544549
1 382267 400289 428554 463372 496624 527944 545752
2 386305 403548 431633 465934 498628 529081 546870
3 389747 406828 434528 468192 500249 530042 547634
4 393108 409629 437026 469690 501395 530306 547464
5 396020 412404 438915 470993 502081 530231 547281
6 398425 414918 440515 471966 502042 529485 545312
7 401031 417227 442229 472712 502049 528914 543979
8 403624 418880 443583 472966 501454 527567 542169
9 406197 420982 444899 473496 500787 526420 540981
10 408439 423187 446061 473752 500003 524598 538860
11 411643 425488 447949 474508 499682 523506 536987
12 413931 427534 449061 474633 498634 521619 534206
13 417486 430351 450811 475363 498143 520199 532412
14 421213 432909 452615 475724 497577 518656 530050
15 425620 436231 455024 477219 497940 517789 528315
16 428209 438290 455999 476823 496409 514903 524944
17 431396 440856 457648 477176 495777 512981 522452
18 435775 444128 460018 478229 495474 511582 521047
19 440046 448301 462884 480186 496483 511342 520046
20 444997 453155 466693 482975 498500 512576 520611
21 450658 458344 471119 486469 501568 514793 522824
22 456085 463050 476224 491064 505535 518718 526284
23 460182 467233 479787 494720 508819 521705 529527
24 485318 492462 505088 519466 533389 546773 553622
25 505899 513594 527190 542761 557901 572368 579665
26 522115 530446 545049 561935 578360 593933 601804
27 540641 549644 565305 583510 601134 617956 626437
28 551703 561372 578175 597679 616494 634526 643706
29 576099 586291 604245 624939 644921 663943 673889
30 588020 598870 617940 639795 660929 680996 691644
31 604505 615787 635934 658799 680888 702044 713137
32 614869 626466 647577 671324 694289 716273 728062
33 622396 634427 656402 680878 704641 727222 739568
34 621505 633976 656530 681625 706109 729272 741925
35 623169 636155 659072 684680 709700 733073 746408
36 620240 633166 656714 682542 707973 731573 745208
37 626583 639642 663651 689752 715564 739393 753051
38 622907 636183 660338 686398 712215 736379 749902
39 619836 633231 657141 683285 709111 733261 746777
40 626318 639680 663524 689488 715225 738999 752741
41 637678 650738 674171 700112 725757 749270 762719
42 634097 646706 669801 695287 720429 744003 757208
43 642059 654232 676719 701788 726392 749347 762575
44 639592 651385 673475 697955 721976 744617 757161
45 639457 650730 672239 695927 719143 741404 753535
46 635266 645846 666499 689587 711836 733513 745319
47 638880 649126 668989 691119 712479 733495 744724
48 647546 657126 676288 697404 717765 737991 748698
49 669414 678441 696827 716879 736292 755477 765634
50 663732 672415 689976 708946 727371 745564 755178
51 673416 681496 698186 716150 733643 750683 759905
52 668680 676318 692023 709058 725544 741733 750443
53 680721 687912 702671 718748 734354 749623 757720
54 664659 671383 685281 700444 715213 729546 737111
55 665302 671856 684877 699160 713095 726546 733669
56 682432 688787 700948 714453 727623 740188 746948
57 690680 696694 708102 720859 733213 744966 751479
58 699177 704800 715627 727678 739333 750304 756484
59 719074 724282 734538 745921 756845 767111 773056
60 721192 726098 735791 746484 756783 766348 771941
61 735591 740144 749340 759408 769088 778084 783432
62 754126 758609 767263 776719 785877 794283 799330
63 789397 793747 801828 810769 819448 827368 832227
64 809892 814439 821962 830436 838576 846016 850725
65 839702 844177 851236 859428 867107 874157 878569
66 872687 877228 883684 891675 898970 905803 910052
67 901625 905662 911900 919666 926655 933379 937341
68 889194 893168 899189 906660 913469 919917 923594
69 890265 894341 900162 907422 913807 920188 923886
70 890040 894146 899733 906999 913166 919637 923245
71 873144 877303 882918 889985 896019 902223 905887
72 886540 890743 896463 903697 909904 916142 919827
73 868938 873215 878988 886357 892538 898885 902478
74 859286 863477 869507 877123 883480 889884 893565
75 852345 856214 862900 870803 877375 884366 887757
76 834716 838376 845629 853904 860791 867943 871325
77 827186 830901 838821 847731 855205 862708 866328
78 757795 761651 769637 778628 786286 793839 797366
79 711895 715831 723988 733419 741376 749257 753002
80 674653 678968 687582 697463 705939 714154 718336
81 628944 633464 642420 653015 662013 670668 675135
82 586858 591502 601031 612324 622026 631100 635716
83 532323 537027 546845 558792 568972 578453 583514
84 495669 500877 511447 524163 535267 545311 550868
85 452611 458153 469139 482529 494465 504985 510857
86 408673 414657 426223 440176 452788 463764 470062
87 365692 372202 384048 398745 412215 423627 430475
88 312298 319038 331046 345499 359326 370700 377766
89 270941 277878 289938 304653 318971 331090 338290
90 233033 240157 252527 267378 282282 294872 302072
91 204151 211710 224651 240095 255681 269231 276859
92 170017 177523 190113 205374 221115 234837 242569
93 143913 151045 163737 179095 195411 209529 217423
94 110949 117377 129205 143192 158552 171798 179228
95 85323 91278 101837 114696 129276 141848 149069
96 48659 52616 59924 68665 79171 88039 93193
97 36344 39680 46161 53975 63489 71945 76977
98 25505 28248 33693 40299 48544 56172 60962
99 17044 19166 23439 28761 35608 42076 46355
100 11073 12708 15940 20068 25613 31055 34660
101 7476 8748 11306 14647 19328 24055 27342
102 4311 5133 6849 9152 12506 15999 18659
103 2319 2818 3893 5390 7655 10099 12011
104 1121 1392 1997 2876 4281 5832 7061
105 519 658 985 1477 2306 3255 4040
106 243 318 497 776 1275 1877 2377
107 101 136 223 365 633 977 1262
108 39 54 93 160 294 477 632
109 14 20 36 66 128 219 299
110 7 10 20 40 85 158 224
