# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2024 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 413357 420931 433351 448538 462664 475686 482821
1 415920 422901 434091 447757 460432 472178 478560
2 418640 424784 434732 446986 458304 468624 474340
3 421654 426884 435728 446112 456313 465285 470156
4 424872 429164 436693 445660 454145 461843 465998
5 426667 430391 436319 443783 450598 456818 460195
6 459106 459887 461290 462805 464317 465718 466475
7 476757 477512 478885 480367 481854 483222 483957
8 490442 491176 492514 493962 495407 496756 497471
9 506812 507515 508831 510250 511643 512971 513697
10 516117 516791 518069 519469 520826 522110 522840
11 538983 539626 540894 542256 543598 544860 545568
12 549844 550476 551732 553051 554382 555618 556291
13 565347 565974 567216 568508 569820 571038 571702
14 574851 575475 576695 577980 579266 580483 581146
15 581878 582535 583716 585032 586322 587542 588211
16 580672 581335 582525 583874 585189 586413 587085
17 582456 583155 584379 585789 587173 588437 589121
18 579818 580597 581899 583408 584909 586248 586979
19 587546 588412 589845 591536 593213 594744 595512
20 585697 586685 588306 590234 592126 593917 594792
21 585076 586199 588077 590324 592509 594595 595644
22 594674 595979 598173 600796 603348 605776 607007
23 609443 610957 613478 616495 619434 622220 623644
24 609106 610860 613724 617139 620477 623647 625203
25 620462 622412 625630 629435 633184 636704 638385
26 621522 623708 627176 631330 635443 639150 641051
27 624491 626766 630573 634961 639335 643230 645350
28 623119 625410 629423 634049 638596 642697 644946
29 629616 631948 636084 640824 645477 649705 652065
30 640743 643134 647350 652118 656757 661172 663549
31 665153 667496 671791 676468 681085 685472 687810
32 661750 663944 668262 672802 677346 681619 683977
33 673413 675567 679804 684190 688641 692759 695037
34 670527 672580 676623 680842 685131 689078 691285
35 684527 686426 690306 694336 698454 702222 704285
36 669935 671731 675352 679218 683057 686673 688640
37 672445 674213 677608 681268 684872 688294 690175
38 691841 693550 696723 700168 703538 706733 708554
39 702194 703779 706785 710011 713177 716158 717841
40 712975 714450 717301 720301 723267 726046 727594
41 735544 736930 739624 742411 745213 747806 749233
42 740032 741344 743844 746475 749100 751538 752866
43 757474 758703 761038 763511 765973 768260 769517
44 779652 780797 782982 785306 787614 789753 790928
45 819543 820615 822655 824847 827002 829038 830132
46 844849 845875 847782 849846 851893 853777 854789
47 880465 881446 883231 885164 887077 888860 889803
48 920077 921011 922678 924503 926299 927982 928867
49 955981 956880 958445 960171 961858 963454 964260
50 949035 949859 951351 952981 954576 956081 956856
51 957360 958122 959530 961067 962570 963991 964726
52 965011 965746 967050 968512 969946 971273 971968
53 955480 956176 957421 958797 960161 961422 962079
54 980274 980956 982134 983428 984707 985931 986539
55 971935 972568 973715 974934 976160 977301 977912
56 973575 974193 975247 976436 977595 978691 979265
57 979865 980443 981441 982572 983681 984718 985289
58 975527 976113 977032 978134 979192 980177 980718
59 985495 986089 986956 988018 989040 989985 990489
60 922626 923181 923996 925016 925992 926889 927357
61 889018 889566 890342 891312 892245 893110 893569
62 867895 868441 869196 870142 871033 871873 872321
63 837942 838481 839218 840132 840990 841814 842273
64 814407 814941 815674 816561 817407 818198 818677
65 774658 775169 775888 776759 777578 778358 778836
66 763073 763596 764351 765214 766033 766825 767309
67 743115 743626 744365 745246 746083 746854 747335
68 724424 724911 725677 726569 727415 728210 728653
69 708277 708755 709570 710475 711333 712137 712587
70 670298 670759 671574 672499 673348 674196 674618
71 653994 654440 655291 656267 657153 658032 658449
72 645246 645717 646611 647659 648608 649544 649989
73 661156 661687 662702 663844 664914 665918 666403
74 655986 656546 657643 658897 660056 661147 661663
75 674042 674640 675886 677308 678637 679828 680459
76 647830 648435 649760 651298 652713 654005 654671
77 634844 635527 636966 638646 640205 641602 642348
78 478895 479482 480721 482154 483503 484702 485317
79 479912 480560 481958 483584 485111 486472 487167
80 469207 469933 471483 473289 474990 476497 477288
81 449955 450746 452453 454435 456310 457943 458837
82 434317 435149 437053 439265 441361 443160 444183
83 454977 455975 458273 460956 463474 465666 466859
84 423110 424216 426701 429571 432269 434628 435966
85 384348 385486 388145 391149 393985 396500 397906
86 329378 330547 333213 336188 339063 341544 342955
87 282644 283922 286516 289516 292417 294889 296272
88 260139 261455 264253 267481 270619 273283 274797
89 223710 225123 227913 231161 234337 237077 238561
90 189160 190630 193328 196556 199703 202402 203988
91 156607 158013 160697 163778 166834 169438 170936
92 131015 132438 135029 138012 140985 143576 144983
93 110956 112409 114942 117898 120846 123425 124834
94 81057 82350 84528 86983 89509 91715 92848
95 61718 62884 64782 66961 69221 71204 72229
96 45714 46731 48366 50248 52194 53931 54847
97 32237 33119 34459 35979 37570 39011 39796
98 22256 22930 24001 25215 26495 27650 28298
99 14840 15345 16158 17085 18069 18953 19471
100 9670 10043 10634 11321 12057 12717 13115
101 5819 6069 6478 6942 7443 7904 8188
102 3416 3578 3842 4149 4482 4787 4983
103 1856 1952 2112 2299 2503 2690 2812
104 652 689 752 826 906 983 1030
105 251 266 293 324 359 392 413
106 128 137 152 170 191 210 222
107 67 72 81 92 104 115 122
108 36 39 44 50 57 64 69
109 15 17 19 22 26 29 31
110 7 8 9 11 13 15 16
