# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2029 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 406343 417561 435686 457672 478275 497372 508093
1 408895 419736 436697 457368 476930 495231 505119
2 412295 422528 438377 458064 476194 493300 503006
3 414036 423480 438332 456656 473633 489536 498628
4 416079 424924 438738 455662 471442 486067 494605
5 418529 426748 439321 454846 469339 482439 490340
6 421382 428649 440278 454225 467332 479111 486386
7 424455 430463 440931 453622 465253 475880 482253
8 427677 432737 442181 452932 463282 472678 478357
9 430953 435176 443468 452682 461576 469633 474492
10 432635 436289 443399 451027 458293 465229 469067
11 462248 463844 466978 470294 473558 476712 478447
12 480269 481817 484856 488140 491368 494462 496126
13 494347 495878 498868 502071 505233 508279 509941
14 511175 512723 515628 518774 521896 524854 526490
15 520978 522530 525425 528528 531639 534548 536191
16 544479 546031 548891 552035 555133 558060 559657
17 556149 557819 560634 563867 567000 569926 571602
18 572851 574515 577498 580846 584109 587146 588852
19 583894 585787 588901 592503 596042 599276 601047
20 593060 595111 598508 602467 606374 609940 611751
21 594333 596671 600429 604856 609190 613286 615319
22 598822 601393 605649 610671 615511 620244 622579
23 598753 601615 606422 612148 617619 623005 625650
24 608502 611735 617169 623616 629810 635855 638855
25 607838 611528 617637 624807 631773 638476 641825
26 607502 611693 618433 626362 634131 641431 645104
27 616608 621237 628640 637262 645805 653606 657704
28 630411 635209 643146 652481 661735 669905 674380
29 628535 633653 642141 651971 661715 670459 675180
30 638105 643459 652400 662602 672590 681799 686843
31 637457 642821 652105 662548 672748 682227 687545
32 638638 644190 653406 664038 674408 683913 689419
33 635482 640877 650339 660903 671159 680902 686372
34 640535 645565 655073 665424 675631 685356 690606
35 650063 655045 664499 674495 684549 693976 699175
36 673091 677822 686951 696678 706380 715505 720646
37 668399 672958 681693 691029 700378 709165 714117
38 679006 683230 691598 700545 709422 717905 722484
39 675140 679032 687011 695522 703920 712050 716393
40 688068 691829 699346 707451 715404 722990 727151
41 672707 676273 683358 690996 698494 705582 709435
42 674542 677970 684640 691793 698865 705444 709128
43 693274 696545 702830 709504 716093 722357 725760
44 702971 706153 712031 718271 724467 730342 733526
45 713184 716170 721663 727552 733343 738853 741849
46 735157 737955 743122 748653 754079 759234 762040
47 739178 741789 746634 751831 756959 761766 764391
48 756026 758496 763042 767926 772769 777222 779721
49 777623 779905 784144 788769 793320 797469 799848
50 816793 818890 822860 827232 831487 835441 837637
51 841313 843370 847089 851191 855178 858906 860969
52 876016 877935 881438 885309 889074 892669 894513
53 914531 916336 919631 923309 926859 930224 932002
54 949237 950931 954055 957521 960900 964050 965772
55 941268 942965 945897 949153 952360 955322 956928
56 948396 949974 952742 955813 958836 961641 963202
57 954676 956171 958837 961751 964633 967291 968746
58 943927 945376 947851 950650 953378 955873 957287
59 966916 968308 970633 973332 975920 978303 979664
60 957081 958502 960632 963248 965726 967987 969294
61 956961 958340 960353 962873 965221 967459 968633
62 961181 962498 964463 966884 969161 971270 972411
63 954802 956120 958007 960367 962532 964626 965737
64 962159 963534 965360 967695 969824 971877 973012
65 898467 899831 901599 903831 905863 907825 909024
66 863296 864584 866340 868512 870505 872419 873575
67 840105 841392 843168 845316 847274 849215 850368
68 808235 809500 811267 813423 815387 817262 818440
69 782456 783664 785431 787618 789597 791439 792582
70 740946 742102 743943 746114 748097 749969 751032
71 726194 727292 729281 731500 733513 735472 736522
72 703271 704309 706354 708677 710740 712787 713789
73 681104 682177 684308 686742 688883 691027 692068
74 661075 662186 664490 667043 669319 671576 672618
75 620531 621700 624035 626657 629008 631292 632364
76 599800 601091 603495 606312 608845 611227 612355
77 585342 586674 589265 592338 595117 597667 598877
78 592159 593619 596538 600025 603151 605995 607463
79 578680 580292 583492 587338 590817 593895 595505
80 584186 585958 589643 594046 597999 601553 603449
81 549778 551631 555624 560347 564644 568436 570445
82 525985 527983 532360 537525 542217 546404 548676
83 385372 387062 390714 395132 399185 402689 404624
84 374284 376083 380274 385166 389698 393611 395823
85 352498 354537 359001 364373 369333 373630 375952
86 323783 326016 330859 336516 341843 346466 348957
87 297531 299920 305185 311198 316934 321872 324593
88 294246 297230 303247 310209 316987 322731 325880
89 256394 259434 265643 272732 279702 285577 288835
90 216532 219744 225764 232815 239871 245718 248971
91 170955 173948 179621 186166 192632 198310 201380
92 134193 137082 142256 148303 154456 159610 162498
93 112229 115004 120087 125966 131945 137127 139959
94 87026 89590 94113 99414 104919 109774 112333
95 65546 67885 71874 76509 81434 85755 88166
96 47879 49899 53305 57302 61573 65450 67563
97 34938 36658 39572 42978 46709 50107 51979
98 25591 27031 29560 32434 35677 38669 40364
99 15963 17009 18825 20912 23327 25527 26833
100 10222 10995 12343 13900 15722 17409 18457
101 6276 6806 7735 8851 10156 11390 12199
102 3586 3927 4531 5264 6145 6981 7539
103 1954 2164 2537 2999 3561 4112 4478
104 1005 1125 1346 1618 1957 2297 2524
105 495 560 683 837 1034 1234 1368
106 221 253 315 394 498 606 677
107 95 110 139 178 230 286 324
108 37 43 56 73 97 122 140
109 9 11 14 19 26 34 39
110 4 4 6 8 12 16 19
