#"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
#"Popolazione per sesso ed età al 1° gennaio 2019 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 421224 424420 430726 437748 444218 450453 453825
1 456157 456252 456417 456594 456772 456936 457027
2 473545 473638 473799 473973 474147 474308 474396
3 486951 487039 487197 487367 487538 487695 487779
4 503033 503117 503272 503437 503605 503759 503841
5 512017 512101 512251 512413 512577 512728 512808
6 534549 534628 534776 534934 535093 535242 535319
7 545047 545122 545267 545422 545577 545722 545799
8 560152 560226 560368 560518 560668 560811 560888
9 569190 569263 569402 569549 569697 569834 569912
10 575686 575757 575895 576036 576182 576319 576392
11 573773 573843 573979 574117 574261 574393 574466
12 574612 574682 574814 574953 575095 575225 575298
13 570650 570722 570852 570991 571132 571263 571336
14 576535 576606 576734 576877 577020 577152 577223
15 572238 572313 572443 572591 572739 572873 572946
16 568693 568774 568913 569070 569228 569370 569445
17 575188 575277 575426 575600 575776 575932 576015
18 586965 587067 587237 587439 587638 587823 587917
19 584175 584290 584493 584732 584970 585189 585301
20 593932 594071 594311 594597 594880 595143 595277
21 594311 594474 594757 595092 595425 595733 595889
22 597473 597661 597985 598369 598749 599098 599278
23 596996 597214 597575 598004 598428 598821 599019
24 604938 605177 605574 606039 606511 606924 607145
25 617895 618150 618589 619081 619578 620026 620259
26 644281 644539 644994 645511 646028 646494 646748
27 642774 643041 643512 644039 644567 645050 645312
28 656453 656723 657207 657734 658261 658755 659026
29 655395 655657 656147 656662 657185 657674 657939
30 671191 671444 671927 672426 672938 673413 673676
31 658225 658467 658936 659415 659914 660369 660622
32 662347 662577 663025 663486 663959 664401 664642
33 683218 683437 683860 684299 684748 685168 685397
34 694855 695061 695459 695877 696302 696693 696915
35 706784 706980 707355 707748 708145 708513 708718
36 730424 730608 730961 731331 731702 732050 732239
37 735835 736008 736337 736685 737034 737359 737536
38 754147 754312 754621 754946 755273 755578 755741
39 777149 777307 777595 777900 778206 778492 778644
40 817925 818070 818340 818626 818912 819182 819323
41 844059 844194 844445 844714 844983 845237 845367
42 880544 880671 880908 881158 881411 881647 881770
43 921082 921201 921425 921660 921898 922120 922234
44 957953 958066 958276 958497 958719 958929 959033
45 951722 951830 952027 952234 952443 952639 952739
46 960908 961011 961197 961392 961588 961772 961866
47 969507 969607 969781 969964 970150 970323 970410
48 960890 960984 961148 961321 961498 961662 961743
49 987040 987125 987278 987443 987609 987765 987842
50 979840 979920 980066 980220 980378 980525 980599
51 982844 982921 983059 983205 983355 983496 983563
52 990654 990728 990857 990997 991139 991272 991339
53 987842 987912 988035 988169 988304 988432 988496
54 999691 999755 999874 1000002 1000131 1000252 1000317
55 937492 937552 937664 937786 937909 938023 938084
56 905116 905178 905280 905397 905514 905622 905679
57 885560 885621 885717 885830 885944 886045 886100
58 857039 857100 857188 857297 857405 857503 857555
59 835136 835195 835280 835383 835487 835580 835630
60 796554 796612 796694 796793 796893 796982 797029
61 787146 787203 787284 787379 787475 787562 787612
62 769158 769213 769292 769387 769479 769567 769615
63 752723 752779 752858 752952 753044 753128 753182
64 739129 739184 739266 739359 739451 739537 739591
65 702836 702891 702974 703065 703158 703242 703295
66 689412 689465 689548 689642 689734 689820 689870
67 684357 684406 684495 684592 684688 684775 684824
68 706056 706108 706201 706307 706409 706507 706552
69 705929 705980 706081 706194 706302 706405 706456
70 731605 731662 731775 731900 732022 732135 732191
71 710140 710200 710319 710453 710582 710701 710761
72 703762 703827 703958 704102 704242 704373 704435
73 538194 538249 538360 538485 538606 538719 538771
74 547369 547429 547555 547695 547831 547952 548016
75 544941 545003 545144 545299 545451 545586 545655
76 533770 533838 533990 534160 534326 534473 534550
77 527883 527956 528126 528315 528502 528666 528751
78 568995 569088 569295 569528 569755 569951 570063
79 546840 546941 547166 547424 547675 547889 548011
80 515414 515521 515766 516045 516319 516552 516684
81 461107 461220 461468 461758 462039 462280 462418
82 415442 415563 415823 416123 416414 416668 416811
83 404142 404278 404573 404908 405235 405521 405680
84 370123 370264 370584 370936 371285 371585 371751
85 336035 336190 336522 336893 337259 337575 337753
86 300637 300803 301143 301531 301916 302245 302431
87 273997 274181 274541 274955 275365 275711 275910
88 254477 254681 255065 255517 255959 256340 256563
89 205628 205821 206183 206608 207028 207385 207583
90 174690 174893 175252 175668 176082 176436 176633
91 145974 146177 146523 146927 147326 147673 147872
92 117283 117486 117814 118182 118551 118876 119046
93 93112 93297 93596 93930 94267 94569 94721
94 72302 72472 72739 73036 73334 73605 73742
95 55603 55759 55993 56253 56518 56755 56880
96 40283 40409 40609 40826 41049 41243 41349
97 29080 29186 29348 29527 29709 29870 29958
98 19898 19977 20102 20240 20381 20504 20573
99 9018 9057 9121 9191 9262 9324 9360
100 4571 4593 4628 4667 4706 4741 4761
101 3145 3161 3188 3217 3248 3274 3290
102 2260 2273 2294 2317 2341 2362 2374
103 1682 1692 1710 1729 1748 1765 1775
104 1021 1029 1040 1053 1066 1078 1084
105 455 459 464 471 477 482 486
106 254 256 259 263 267 270 272
107 113 114 116 118 120 121 122
108 59 60 61 62 63 64 65
109 22 22 23 23 24 24 24
110 19 19 19 19 20 20 20
