# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2043 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 373838 392181 421253 457795 492202 525298 543999
1 378896 396685 425693 461690 495513 527740 546162
2 382787 400777 429203 464465 497910 529709 547653
3 386449 404097 432355 467052 499752 530864 548545
4 390345 407911 435440 469339 501752 531962 549236
5 393363 410356 437661 470869 502700 532173 549017
6 396032 413090 439888 472207 503413 532306 548612
7 398801 415573 441551 473219 503376 531626 547252
8 401719 418053 443290 474006 503382 530929 545942
9 403830 419897 444510 474307 502897 529591 544318
10 406431 422170 446127 474889 502602 528236 542797
11 409292 424318 447481 475205 501809 526687 540704
12 412308 426766 449128 476032 501630 525641 539392
13 415144 428899 450483 476245 500632 523861 536857
14 418938 431481 452189 477091 500128 522573 534670
15 422757 434272 454102 477612 499876 520989 532434
16 427038 437864 456799 479341 500417 520284 531157
17 429918 440114 458073 479305 499366 517966 528442
18 433880 443045 460275 480204 499032 516579 526715
19 438293 447017 462972 481990 499640 516140 525920
20 443348 451907 466877 484784 502033 517160 526018
21 448555 456848 471314 488388 504804 519554 527991
22 454184 462191 476265 492568 508822 522849 531296
23 459878 467550 481503 497650 513444 527644 536063
24 463332 471427 484982 501555 517226 531503 539542
25 487884 496006 510197 526313 542144 557009 564839
26 507944 516770 532088 549451 566554 582524 591019
27 523763 533297 549645 568355 586643 603793 613091
28 541987 551994 569530 589582 609111 627380 637513
29 552849 563386 582006 603360 624098 643498 654425
30 576843 587904 607767 630199 651959 672498 684165
31 588770 600226 621112 644631 667445 688953 701198
32 604876 616953 638648 663211 686977 709529 722118
33 614739 627516 650052 675326 699936 723173 736202
34 622114 635321 658581 684490 709868 733481 746742
35 621275 634580 658289 684877 710824 735095 748923
36 623114 636665 660672 687603 714022 738711 752742
37 620032 633398 658021 685171 711973 736649 751115
38 626245 640106 664866 692115 719088 743971 758506
39 622220 636410 661411 688528 715553 740856 754884
40 618973 633191 658150 685208 712175 737254 751318
41 625487 639597 664060 691220 718100 742593 756786
42 637221 650652 674839 701666 728209 752681 766599
43 633486 646445 670334 696696 722690 747042 760704
44 641319 653832 677161 703043 728455 752218 765803
45 638860 651169 673917 699070 723793 747081 760305
46 638723 650459 672434 696911 720750 743735 756128
47 634527 645576 666763 690452 713271 735863 747782
48 638216 648609 669182 691861 713722 735467 746847
49 646790 656832 676422 698018 718925 739799 750587
50 668544 677857 696752 717341 737292 757097 767446
51 662889 671800 689674 709272 728177 746943 756757
52 672411 680776 697806 716309 734264 751971 761244
53 667698 675455 691608 709057 726108 742699 751394
54 679543 686880 702033 718550 734674 750281 758474
55 663415 670282 684506 700088 715320 730066 737710
56 663886 670639 683892 698612 712978 726700 734071
57 680806 687348 699770 713674 727241 740082 747061
58 688773 694914 706722 719856 732563 744587 751348
59 697095 702841 714025 726432 738353 749696 756028
60 716801 722171 732708 744375 755592 766078 772277
61 718676 723634 733698 744665 755228 764978 770760
62 732608 737465 746932 757250 767198 776423 781880
63 750756 755698 764482 774193 783662 792201 797451
64 785603 790304 798590 807779 816670 824779 829824
65 805736 810436 818236 826994 835383 843036 847860
66 834968 839717 846930 855412 863361 870590 875330
67 867368 871899 878696 886997 894502 901709 905895
68 895640 899711 906081 914262 921620 928584 932557
69 882325 886613 892973 900708 907745 914464 918343
70 882767 887021 893048 900745 907316 914124 917969
71 881671 885907 891886 899526 905978 912708 916507
72 863750 868221 874198 881767 888264 894680 898672
73 875973 880374 886615 894341 900895 907617 911471
74 857289 861829 868153 876056 882624 889470 893140
75 846477 850661 857392 865624 872368 879658 883197
76 837803 841766 849225 857836 864994 872571 876101
77 818405 822201 830247 839356 846973 854774 858386
78 808336 812609 821266 831073 839411 847652 851651
79 737941 742198 750946 760925 769389 777652 781843
80 690122 694604 703663 714026 722879 731569 735811
81 650449 655341 664776 675973 685555 694512 699307
82 602733 607679 617600 629557 639719 649169 654256
83 558292 563356 573971 586745 597638 607726 613349
84 502102 507579 518486 531699 543076 553553 559432
85 463195 469149 480573 494671 507115 518074 524241
86 418127 424338 436388 451089 464259 475829 482368
87 372602 379217 391630 406955 420897 432848 439964
88 328261 335514 348295 364017 378837 391137 398788
89 275643 283047 295534 310958 325871 338434 346101
90 234536 242184 254599 270001 285370 298220 305905
91 197464 205123 217792 233106 248669 261933 269880
92 169742 177212 190264 205809 222105 236046 244117
93 138019 145354 157861 172888 189027 202969 210855
94 113804 120542 132975 147701 163929 177818 186085
95 85074 91234 102181 115337 130348 143228 150775
96 63404 68740 78417 90125 104044 116193 123058
97 35091 38452 44863 52622 62066 70648 75679
98 25234 28075 33509 40285 48671 56559 61535
99 17013 19273 23674 29183 36299 43060 47634
100 10956 12590 15892 20136 25890 31420 35244
101 6795 7946 10363 13505 17951 22414 25607
102 4354 5207 7001 9434 13001 16754 19609
103 2369 2893 4038 5633 8094 10740 12806
104 1198 1508 2176 3159 4754 6524 7949
105 545 702 1058 1600 2528 3607 4486
106 235 311 492 778 1298 1927 2453
107 103 141 232 385 679 1060 1376
108 39 56 97 170 319 521 696
109 14 21 38 70 139 240 329
110 7 10 20 41 91 171 245
