#"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
#"Popolazione per sesso ed età al 1° gennaio 2018 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 456192 456192 456192 456192 456192 456192 456192
1 473567 473567 473567 473567 473567 473567 473567
2 486949 486949 486949 486949 486949 486949 486949
3 503000 503000 503000 503000 503000 503000 503000
4 511951 511951 511951 511951 511951 511951 511951
5 534454 534454 534454 534454 534454 534454 534454
6 544912 544912 544912 544912 544912 544912 544912
7 559981 559981 559981 559981 559981 559981 559981
8 568964 568964 568964 568964 568964 568964 568964
9 575393 575393 575393 575393 575393 575393 575393
10 573405 573405 573405 573405 573405 573405 573405
11 574155 574155 574155 574155 574155 574155 574155
12 570073 570073 570073 570073 570073 570073 570073
13 575829 575829 575829 575829 575829 575829 575829
14 571351 571351 571351 571351 571351 571351 571351
15 567550 567550 567550 567550 567550 567550 567550
16 573687 573687 573687 573687 573687 573687 573687
17 584944 584944 584944 584944 584944 584944 584944
18 581446 581446 581446 581446 581446 581446 581446
19 590452 590452 590452 590452 590452 590452 590452
20 590059 590059 590059 590059 590059 590059 590059
21 592613 592613 592613 592613 592613 592613 592613
22 591736 591736 591736 591736 591736 591736 591736
23 599529 599529 599529 599529 599529 599529 599529
24 612583 612583 612583 612583 612583 612583 612583
25 639259 639259 639259 639259 639259 639259 639259
26 638079 638079 638079 638079 638079 638079 638079
27 652213 652213 652213 652213 652213 652213 652213
28 651556 651556 651556 651556 651556 651556 651556
29 667817 667817 667817 667817 667817 667817 667817
30 655248 655248 655248 655248 655248 655248 655248
31 659794 659794 659794 659794 659794 659794 659794
32 681102 681102 681102 681102 681102 681102 681102
33 693128 693128 693128 693128 693128 693128 693128
34 705429 705429 705429 705429 705429 705429 705429
35 729433 729433 729433 729433 729433 729433 729433
36 735125 735125 735125 735125 735125 735125 735125
37 753740 753740 753740 753740 753740 753740 753740
38 777009 777009 777009 777009 777009 777009 777009
39 818076 818076 818076 818076 818076 818076 818076
40 844449 844449 844449 844449 844449 844449 844449
41 881183 881183 881183 881183 881183 881183 881183
42 921978 921978 921978 921978 921978 921978 921978
43 959097 959097 959097 959097 959097 959097 959097
44 953023 953023 953023 953023 953023 953023 953023
45 962408 962408 962408 962408 962408 962408 962408
46 971186 971186 971186 971186 971186 971186 971186
47 962719 962719 962719 962719 962719 962719 962719
48 989119 989119 989119 989119 989119 989119 989119
49 982096 982096 982096 982096 982096 982096 982096
50 985319 985319 985319 985319 985319 985319 985319
51 993394 993394 993394 993394 993394 993394 993394
52 990840 990840 990840 990840 990840 990840 990840
53 1003021 1003021 1003021 1003021 1003021 1003021 1003021
54 940870 940870 940870 940870 940870 940870 940870
55 908662 908662 908662 908662 908662 908662 908662
56 889344 889344 889344 889344 889344 889344 889344
57 861010 861010 861010 861010 861010 861010 861010
58 839352 839352 839352 839352 839352 839352 839352
59 800934 800934 800934 800934 800934 800934 800934
60 791879 791879 791879 791879 791879 791879 791879
61 774202 774202 774202 774202 774202 774202 774202
62 758103 758103 758103 758103 758103 758103 758103
63 744865 744865 744865 744865 744865 744865 744865
64 708774 708774 708774 708774 708774 708774 708774
65 695794 695794 695794 695794 695794 695794 695794
66 691312 691312 691312 691312 691312 691312 691312
67 713943 713943 713943 713943 713943 713943 713943
68 714597 714597 714597 714597 714597 714597 714597
69 741495 741495 741495 741495 741495 741495 741495
70 720750 720750 720750 720750 720750 720750 720750
71 715352 715352 715352 715352 715352 715352 715352
72 548019 548019 548019 548019 548019 548019 548019
73 558409 558409 558409 558409 558409 558409 558409
74 557180 557180 557180 557180 557180 557180 557180
75 547177 547177 547177 547177 547177 547177 547177
76 542780 542780 542780 542780 542780 542780 542780
77 587178 587178 587178 587178 587178 587178 587178
78 566693 566693 566693 566693 566693 566693 566693
79 536684 536684 536684 536684 536684 536684 536684
80 482844 482844 482844 482844 482844 482844 482844
81 437804 437804 437804 437804 437804 437804 437804
82 429002 429002 429002 429002 429002 429002 429002
83 396129 396129 396129 396129 396129 396129 396129
84 363056 363056 363056 363056 363056 363056 363056
85 328265 328265 328265 328265 328265 328265 328265
86 302848 302848 302848 302848 302848 302848 302848
87 285128 285128 285128 285128 285128 285128 285128
88 233948 233948 233948 233948 233948 233948 233948
89 202085 202085 202085 202085 202085 202085 202085
90 171955 171955 171955 171955 171955 171955 171955
91 140841 140841 140841 140841 140841 140841 140841
92 114132 114132 114132 114132 114132 114132 114132
93 90713 90713 90713 90713 90713 90713 90713
94 71606 71606 71606 71606 71606 71606 71606
95 53348 53348 53348 53348 53348 53348 53348
96 39627 39627 39627 39627 39627 39627 39627
97 27958 27958 27958 27958 27958 27958 27958
98 13133 13133 13133 13133 13133 13133 13133
99 6931 6931 6931 6931 6931 6931 6931
100 5001 5001 5001 5001 5001 5001 5001
101 3785 3785 3785 3785 3785 3785 3785
102 2975 2975 2975 2975 2975 2975 2975
103 1916 1916 1916 1916 1916 1916 1916
104 908 908 908 908 908 908 908
105 541 541 541 541 541 541 541
106 259 259 259 259 259 259 259
107 146 146 146 146 146 146 146
108 60 60 60 60 60 60 60
109 39 39 39 39 39 39 39
110 17 17 17 17 17 17 17
