# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2040 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 385521 402239 430470 463740 496011 525765 543468
1 389199 405576 433220 465950 497661 526703 543858
2 392227 408186 435085 467393 498426 526757 543458
3 395291 410674 437181 468636 499073 527034 543334
4 398188 412998 438711 469542 499195 526242 541763
5 401045 415282 440349 470214 499023 525118 540396
6 403163 417156 441604 470388 498215 523471 538326
7 405854 419392 442915 470830 497661 522295 536900
8 407824 421278 443994 470988 496838 520672 534910
9 410632 423637 445736 471632 496277 519773 532661
10 412986 425311 446658 471625 494995 517607 529905
11 416020 427754 448393 472195 494419 515832 527660
12 418695 430271 449823 472351 493637 513899 525118
13 422724 433537 452132 473569 493562 512848 523666
14 425446 435262 452639 472776 491702 509737 519842
15 428460 437386 453880 472532 490492 507242 516255
16 431485 440033 455201 472674 489377 504873 513317
17 435322 442882 457060 473345 488721 503025 511335
18 439368 446400 459306 474554 488636 501829 509686
19 443981 450841 462714 476387 489974 501826 508889
20 449063 455581 466430 479471 492036 503182 509919
21 453013 458832 469481 481944 493760 504434 510932
22 479617 485110 494761 505956 516714 526825 532330
23 500514 506361 516945 528989 540727 551848 557472
24 517350 523685 535167 548301 560956 573225 579232
25 536610 543475 555953 570302 584208 597438 604104
26 548538 555975 569504 585085 600182 614543 621730
27 573519 581597 596153 613093 629251 644910 652652
28 586190 594974 610632 628762 646113 662959 671324
29 603252 612690 629346 648616 667087 685042 694066
30 614072 623976 641753 661992 681565 700322 710171
31 622066 632681 651060 672381 692894 712341 722693
32 621532 632423 651908 673929 695194 715319 726196
33 623508 634769 655084 677740 699758 720388 731729
34 620483 632376 653175 676296 698943 720088 731900
35 627116 639276 660481 684142 707272 728634 740891
36 623545 635915 657588 681350 704790 726604 738992
37 620539 633016 654729 678738 702321 724130 736800
38 627253 639713 661321 685397 709065 730926 743645
39 638457 650997 672441 696435 719941 741859 754340
40 634706 646928 668296 691973 715208 736865 749346
41 642840 654514 675483 698809 721724 742940 755291
42 640611 651884 672472 695273 717611 738778 750717
43 640565 651245 671406 693540 715256 735918 747657
44 636423 646511 666005 687472 708266 728495 739800
45 640109 649813 668572 689267 709340 728779 739517
46 648967 658214 675912 695815 715015 733688 743928
47 670848 679467 696814 715579 733881 751563 761417
48 665327 673504 690094 707891 725316 742136 751456
49 675215 682750 698562 715392 731917 747863 756608
50 670625 677823 692624 708591 724191 739197 747531
51 682863 689678 703514 718644 733318 747740 755380
52 666955 673291 686415 700641 714488 728098 735179
53 667929 673947 686311 699726 712821 725436 732277
54 685452 691214 702824 715469 727814 739685 746067
55 694037 699523 710393 722312 733885 745057 751169
56 702950 708173 718267 729585 740525 750928 756659
57 723211 728158 737715 748370 758649 768373 773807
58 725620 730318 739355 749430 759085 768220 773384
59 740537 744943 753560 762981 772126 780614 785568
60 759872 763966 772103 780997 789584 797530 802266
61 795822 799855 807586 815933 824073 831539 836012
62 817413 821316 828497 836434 844091 851102 855314
63 848182 852264 858874 866438 873669 880229 884503
64 882260 886285 892559 899856 906676 912945 916876
65 912361 916323 921999 929150 935628 941708 945472
66 901082 904734 910200 917111 923263 929266 932692
67 903772 907237 912512 919138 925140 930913 934198
68 904956 908515 913655 920110 925824 931419 934689
69 889541 893125 898018 904419 909878 915516 918720
70 905119 908885 913862 920149 925547 931043 934405
71 889360 893151 898129 904456 909884 915379 918622
72 881941 885685 890851 897252 902753 908310 911520
73 877617 881357 886711 893357 899030 904656 907797
74 862952 866271 872122 878987 884788 890786 893821
75 859302 862488 868962 876198 882251 888654 891682
76 791813 794843 801385 808702 814822 821090 824104
77 748803 751945 758725 766292 772719 779109 782113
78 715552 718817 725900 733880 740747 747409 750489
79 673800 677372 684572 692919 700116 707041 710354
80 635840 639755 647244 656196 663727 671124 674742
81 584646 588517 596387 605708 613690 621279 625130
82 553010 557171 565600 575789 584523 592732 596799
83 514140 518363 527451 538225 547699 556273 560781
84 474058 478839 488411 499845 509982 518984 523953
85 434942 440066 450027 462226 473194 482720 488082
86 382323 387487 397702 410135 421415 431093 436772
87 341961 347935 358550 371462 383517 393443 399584
88 305195 311529 322517 335886 348600 359279 365902
89 278704 285310 297206 311403 325297 337295 343908
90 241817 248691 261007 275464 290166 302471 309430
91 213367 220814 233541 248791 264294 277735 284993
92 173038 179996 192306 206803 221911 235038 242298
93 140738 147224 159061 173051 188130 200965 207882
94 85608 90162 98621 108816 120002 129520 134571
95 68041 72240 80249 89876 100798 110102 115307
96 51045 54887 62017 70632 80650 89537 94379
97 36689 39861 45985 53359 62211 70102 74842
98 25799 28423 33544 39717 47413 54448 58830
99 19046 21307 25763 31227 38260 44853 49087
100 12104 13784 17106 21221 26779 32078 35579
101 7256 8426 10719 13670 17775 21845 24704
102 3942 4653 6111 8019 10761 13542 15693
103 2058 2481 3352 4556 6344 8233 9752
104 1103 1353 1897 2668 3887 5194 6260
105 526 661 963 1406 2135 2968 3633
106 236 304 459 698 1114 1607 2001
107 99 130 206 327 548 828 1049
108 39 53 88 146 259 408 529
109 15 21 36 64 119 195 260
110 7 10 18 34 70 124 172
