#Età/Anno 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
86 194216 154327 122562 118449 156507 237505 247479 253310 255836 257954
87 174651 172767 136342 110259 105790 140665 212588 221719 227188 231564
88 155483 152617 149102 120676 97288 93733 124537 186882 194790 200320
89 132996 131606 127765 128760 104496 85129 81797 108395 164459 170890
90 105054 112493 109675 109065 108905 89821 73215 70061 92683 142238
91 86118 87068 92183 91949 90961 91830 75594 61419 58928 78271
92 62469 69972 69869 75970 74853 75333 75705 62418 50554 48704
93 47218 49786 54867 56437 60682 60827 61181 61102 50312 41215
94 32257 36676 37966 43481 43872 48017 48105 48358 48769 40126
95 23389 24455 27110 29185 32771 33828 36849 36971 37900 38472
96 16439 17344 17748 20285 21323 24639 25258 27397 28053 29547
97 11019 11884 12160 13034 14306 15612 17715 18366 20278 21171
98 6901 7743 8086 8709 9006 10182 11035 12492 13078 14694
99 4910 4813 5126 5648 5908 6221 6866 7612 8625 9212
100 6153 7265 7614 8797 9470 10386 10728 11319 12243 13544
