# "Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2018"
# "Popolazione per sesso ed età al 1° gennaio 2033 - Italia"
#"Età" "Limite inferiore intervallo di confidenza al 90% (5° percentile)" "Limite inferiore intervallo di confidenza all'80% (10° percentile)" "Limite inferiore intervallo di confidenza al 50% (25° percentile)" "Scenario mediano" "Limite superiore intervallo di confidenza al 50% (75° percentile)" "Limite superiore intervallo di confidenza all'80% (90° percentile)" "Limite superiore intervallo di confidenza al 90% (95° percentile)"
0 399836 413111 435818 462297 487855 510689 525235
1 402239 414895 436611 462229 486431 508691 522787
2 404891 417082 437866 462626 485899 507219 520416
3 406764 418882 438524 462345 484288 504907 517339
4 409474 420958 439874 462610 483435 502831 514681
5 412415 423036 441139 462421 482097 500760 511670
6 415942 425732 443229 463239 481548 498947 509611
7 418287 426982 443399 461966 479294 495387 505391
8 420593 428834 444025 461119 477208 492351 501425
9 422854 430758 444670 460465 475286 489227 497472
10 425789 432910 445744 460023 473560 486245 493620
11 428911 435001 446793 459623 471843 483199 489830
12 432104 437793 448092 459169 470285 480378 486344
13 435629 440273 449400 459200 468854 477754 482748
14 437561 441525 449210 457899 466114 473486 478301
15 465569 467977 472606 477623 482538 487271 489891
16 484115 486517 491079 496097 501044 505705 508238
17 498867 501292 505929 510947 515958 520581 523158
18 516554 519278 523811 529016 534083 538834 541554
19 527654 530528 535285 540742 546012 550915 553762
20 552786 555871 561005 566843 572512 577802 580798
21 566441 569826 575379 581760 588001 593864 596970
22 585043 588781 594838 601976 608846 615298 618746
23 597812 601927 608717 616632 624221 631468 635352
24 608027 612629 620194 628995 637477 645573 649848
25 609684 614784 623172 632967 642385 651357 656099
26 613790 619477 628631 639489 649873 659665 664960
27 612883 619060 629058 640885 652361 662968 668735
28 621360 627967 638990 651629 663982 675502 681626
29 619314 626558 638167 651663 664733 677037 683770
30 617723 625256 637557 651767 665564 678488 685557
31 625364 633450 646201 661016 675425 688690 696286
32 637868 645895 659198 674476 689306 702919 710935
33 634696 643059 656581 672196 687272 701210 709472
34 643366 651613 665289 681051 696319 710358 718834
35 641788 649855 663689 679299 694404 708840 717129
36 642320 649935 663879 679173 694305 708417 716567
37 638430 645733 659610 674543 689435 703444 711172
38 642472 649683 663055 677682 692094 705751 713419
39 651477 658422 671451 685493 699328 712644 719996
40 673990 680414 693009 706507 719726 732491 739655
41 668851 674816 686946 699860 712486 724572 731477
42 679053 684598 696053 708438 720432 731983 738447
43 674728 680063 690921 702606 713900 724877 730881
44 687403 692506 702696 713740 724455 734728 740419
45 671822 676540 686271 696624 706756 716350 721706
46 673381 677889 687070 696754 706251 715295 720306
47 691667 696067 704704 713759 722688 731246 735980
48 701129 705293 713360 721871 730288 738302 742741
49 711038 714983 722510 730508 738468 745948 750090
50 732698 736318 743321 750905 758369 765370 769243
51 736367 739703 746327 753435 760442 766985 770656
52 752676 755859 762076 768761 775305 781480 784963
53 773557 776630 782406 788742 794839 800741 803974
54 811888 814700 820104 826136 831889 837446 840456
55 835463 838222 843326 849029 854494 859712 862576
56 869084 871640 876543 881890 887081 891990 894712
57 906342 908909 913424 918501 923415 927964 930546
58 939738 942141 946472 951244 955952 960175 962706
59 930817 933097 937250 941762 946202 950213 952517
60 936633 938866 942697 947049 951221 955059 957259
61 941518 943793 947318 951516 955460 959112 961252
62 929514 931713 934987 939042 942812 946271 948329
63 950534 952655 955783 959719 963331 966714 968622
64 939213 941241 944248 948051 951525 954840 956659
65 937120 939176 942078 945805 949137 952389 954173
66 939064 941168 944045 947684 950883 954161 955950
67 930523 932683 935476 939070 942232 945405 947284
68 935030 937228 940103 943706 946897 950123 951948
69 870494 872539 875384 878937 882080 885170 887056
70 833450 835414 838294 841827 844948 848014 849767
71 807783 809734 812755 816352 819512 822594 824330
72 773751 775504 778737 782311 785472 788648 790332
73 745245 746945 750273 753987 757238 760536 762178
74 701656 703340 706763 710574 713839 717268 718799
75 683098 684827 688439 692489 695975 699469 701126
76 656491 658337 662074 666340 670060 673706 675405
77 630072 632037 635958 640475 644461 648302 650009
78 605069 607247 611307 616218 620521 624572 626466
79 560887 563117 567363 572441 576938 581073 583118
80 534205 536582 541060 546572 551358 555899 558044
81 512179 514619 519537 525578 530894 535749 538176
82 507496 510173 515800 522671 528702 534205 537013
83 484100 487041 493279 500753 507429 513443 516482
84 475387 478629 485742 494166 501877 508495 512201
85 433166 436631 444144 453034 461178 468209 472161
86 399597 403420 411391 420877 429703 437303 441504
87 280218 283535 290016 297743 305022 311261 314787
88 259423 263087 270122 278453 286431 293269 297002
89 230926 234894 242314 250977 259502 266717 270586
90 199246 203149 210777 219544 228265 235753 239658
91 170663 174791 182283 191284 200401 207905 212110
92 156286 160876 168954 178686 188555 196914 201494
93 125421 129803 137466 146600 156148 164050 168450
94 97086 100930 107958 116214 124950 132409 136506
95 69512 72742 78720 85639 93106 99654 103342
96 48998 51803 56667 62402 68772 74425 77704
97 36427 38886 43127 48130 53873 59078 62106
98 24899 26807 30264 34291 39038 43407 45931
99 16455 17876 20519 23641 27400 30931 33050
100 10422 11475 13399 15722 18605 21304 23023
101 6473 7208 8593 10277 12434 14470 15803
102 3953 4461 5448 6642 8221 9772 10809
103 2027 2317 2893 3609 4589 5558 6225
104 1041 1212 1551 1989 2593 3219 3665
105 505 598 787 1037 1389 1774 2050
106 225 271 367 499 692 906 1061
107 94 116 161 227 326 438 522
108 37 46 66 96 143 198 239
109 13 17 26 39 60 85 105
110 6 8 13 20 33 50 63
